




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Mus musculus)
Reference List:	mouse_background.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	mouse_background.txt - REFLIST (18060)	upload_1 (4777)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
stem cell differentiation (GO:0048863)	166	46	43.91	+	1.05	3.96E-01
positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)	65	18	17.19	+	1.05	4.55E-01
transmission of nerve impulse (GO:0019226)	65	18	17.19	+	1.05	4.55E-01
specification of symmetry (GO:0009799)	130	36	34.39	+	1.05	4.14E-01
telencephalon development (GO:0021537)	242	67	64.01	+	1.05	3.70E-01
icosanoid metabolic process (GO:0006690)	112	31	29.62	+	1.05	4.24E-01
detection of mechanical stimulus involved in sensory perception (GO:0050974)	47	13	12.43	+	1.05	4.73E-01
proteoglycan biosynthetic process (GO:0030166)	47	13	12.43	+	1.05	4.73E-01
positive regulation of muscle contraction (GO:0045933)	47	13	12.43	+	1.05	4.73E-01
response to external stimulus (GO:0009605)	2033	562	537.74	+	1.05	1.39E-01
regulation of cyclin-dependent protein kinase activity (GO:1904029)	76	21	20.10	+	1.04	4.50E-01
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	181	50	47.88	+	1.04	3.98E-01
leukocyte proliferation (GO:0070661)	105	29	27.77	+	1.04	4.33E-01
locomotory behavior (GO:0007626)	239	66	63.22	+	1.04	3.79E-01
hindbrain development (GO:0030902)	163	45	43.11	+	1.04	4.07E-01
negative regulation of systemic arterial blood pressure (GO:0003085)	29	8	7.67	+	1.04	5.00E-01
gamma-aminobutyric acid signaling pathway (GO:0007214)	29	8	7.67	+	1.04	5.00E-01
establishment of tissue polarity (GO:0007164)	29	8	7.67	+	1.04	5.00E-01
blastocyst growth (GO:0001832)	29	8	7.67	+	1.04	5.00E-01
blastocyst formation (GO:0001825)	58	16	15.34	+	1.04	4.67E-01
positive regulation of stem cell proliferation (GO:2000648)	29	8	7.67	+	1.04	5.00E-01
myeloid dendritic cell activation (GO:0001773)	29	8	7.67	+	1.04	5.00E-01
DNA methylation or demethylation (GO:0044728)	58	16	15.34	+	1.04	4.67E-01
protein K63-linked deubiquitination (GO:0070536)	29	8	7.67	+	1.04	5.00E-01
positive regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043372)	29	8	7.67	+	1.04	5.00E-01
positive regulation of long-term synaptic potentiation (GO:1900273)	29	8	7.67	+	1.04	5.00E-01
myotube cell development (GO:0014904)	29	8	7.67	+	1.04	5.00E-01
negative regulation of response to cytokine stimulus (GO:0060761)	58	16	15.34	+	1.04	4.67E-01
glycerophospholipid catabolic process (GO:0046475)	29	8	7.67	+	1.04	5.00E-01
cell aging (GO:0007569)	58	16	15.34	+	1.04	4.67E-01
muscle contraction (GO:0006936)	185	51	48.93	+	1.04	4.02E-01
regulation of lymphocyte proliferation (GO:0050670)	225	62	59.51	+	1.04	3.90E-01
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	196	54	51.84	+	1.04	4.00E-01
cell cycle checkpoint signaling (GO:0000075)	138	38	36.50	+	1.04	4.24E-01
cardiac muscle tissue morphogenesis (GO:0055008)	69	19	18.25	+	1.04	4.61E-01
chromosome segregation (GO:0007059)	247	68	65.33	+	1.04	3.86E-01
regulation of leukocyte differentiation (GO:1902105)	298	82	78.82	+	1.04	3.74E-01
biological process involved in interspecies interaction between organisms (GO:0044419)	1236	340	326.93	+	1.04	2.34E-01
regulation of establishment of planar polarity (GO:0090175)	40	11	10.58	+	1.04	4.89E-01
stress-activated protein kinase signaling cascade (GO:0031098)	80	22	21.16	+	1.04	4.56E-01
post-embryonic development (GO:0009791)	120	33	31.74	+	1.04	4.35E-01
ribose phosphate biosynthetic process (GO:0046390)	120	33	31.74	+	1.04	4.35E-01
cell activation (GO:0001775)	615	169	162.67	+	1.04	3.18E-01
regulation of cysteine-type endopeptidase activity (GO:2000116)	222	61	58.72	+	1.04	4.00E-01
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	91	25	24.07	+	1.04	4.52E-01
modulation by symbiont of entry into host (GO:0052372)	51	14	13.49	+	1.04	4.81E-01
positive regulation of epithelial cell differentiation (GO:0030858)	51	14	13.49	+	1.04	4.81E-01
microtubule polymerization or depolymerization (GO:0031109)	51	14	13.49	+	1.04	4.81E-01
neurotransmitter transport (GO:0006836)	124	34	32.80	+	1.04	4.40E-01
ribonucleoprotein complex localization (GO:0071166)	62	17	16.40	+	1.04	4.74E-01
negative regulation of peptide hormone secretion (GO:0090278)	62	17	16.40	+	1.04	4.74E-01
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	124	34	32.80	+	1.04	4.40E-01
nuclear division (GO:0000280)	270	74	71.42	+	1.04	3.95E-01
stress-activated MAPK cascade (GO:0051403)	73	20	19.31	+	1.04	4.68E-01
regulation of calcium-mediated signaling (GO:0050848)	73	20	19.31	+	1.04	4.68E-01
digestive tract development (GO:0048565)	117	32	30.95	+	1.03	4.49E-01
positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)	117	32	30.95	+	1.03	4.49E-01
regulation of leukocyte proliferation (GO:0070663)	245	67	64.80	+	1.03	4.08E-01
developmental maturation (GO:0021700)	264	72	69.83	+	1.03	4.13E-01
extracellular transport (GO:0006858)	33	9	8.73	+	1.03	5.08E-01
myoblast differentiation (GO:0045445)	33	9	8.73	+	1.03	5.08E-01
regulation of cell cycle checkpoint (GO:1901976)	33	9	8.73	+	1.03	5.08E-01
DNA duplex unwinding (GO:0032508)	33	9	8.73	+	1.03	5.08E-01
nucleus localization (GO:0051647)	33	9	8.73	+	1.03	5.08E-01
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	33	9	8.73	+	1.03	5.08E-01
positive regulation of leukocyte degranulation (GO:0043302)	33	9	8.73	+	1.03	5.08E-01
positive regulation of smooth muscle contraction (GO:0045987)	33	9	8.73	+	1.03	5.08E-01
regulation of type 2 immune response (GO:0002828)	33	9	8.73	+	1.03	5.08E-01
positive regulation of chromatin assembly or disassembly (GO:0045799)	11	3	2.91	+	1.03	5.56E-01
positive regulation of leukocyte tethering or rolling (GO:1903238)	11	3	2.91	+	1.03	5.56E-01
phospholipid efflux (GO:0033700)	11	3	2.91	+	1.03	5.56E-01
complement activation, alternative pathway (GO:0006957)	11	3	2.91	+	1.03	5.56E-01
negative regulation of heterotypic cell-cell adhesion (GO:0034115)	11	3	2.91	+	1.03	5.56E-01
phagocytosis, engulfment (GO:0006911)	44	12	11.64	+	1.03	4.97E-01
growth hormone receptor signaling pathway (GO:0060396)	11	3	2.91	+	1.03	5.56E-01
negative regulation of pathway-restricted SMAD protein phosphorylation (GO:0060394)	11	3	2.91	+	1.03	5.56E-01
Golgi to endosome transport (GO:0006895)	11	3	2.91	+	1.03	5.56E-01
trigeminal nerve development (GO:0021559)	11	3	2.91	+	1.03	5.56E-01
nephric duct morphogenesis (GO:0072178)	11	3	2.91	+	1.03	5.56E-01
positive regulation of growth hormone secretion (GO:0060124)	11	3	2.91	+	1.03	5.56E-01
mitotic metaphase plate congression (GO:0007080)	44	12	11.64	+	1.03	4.97E-01
protein catabolic process in the vacuole (GO:0007039)	11	3	2.91	+	1.03	5.56E-01
mitotic G2/M transition checkpoint (GO:0044818)	44	12	11.64	+	1.03	4.97E-01
response to vitamin (GO:0033273)	22	6	5.82	+	1.03	5.25E-01
regulation of nuclear cell cycle DNA replication (GO:0033262)	11	3	2.91	+	1.03	5.56E-01
behavioral fear response (GO:0001662)	44	12	11.64	+	1.03	4.97E-01
cell cycle DNA replication (GO:0044786)	22	6	5.82	+	1.03	5.25E-01
regulation of protein neddylation (GO:2000434)	11	3	2.91	+	1.03	5.56E-01
regulation of serotonin secretion (GO:0014062)	11	3	2.91	+	1.03	5.56E-01
membrane depolarization (GO:0051899)	44	12	11.64	+	1.03	4.97E-01
regulation of ceramide biosynthetic process (GO:2000303)	11	3	2.91	+	1.03	5.56E-01
positive regulation of mitochondrial membrane permeability involved in apoptotic process (GO:1902110)	11	3	2.91	+	1.03	5.56E-01
cellular response to growth hormone stimulus (GO:0071378)	11	3	2.91	+	1.03	5.56E-01
cellular response to ethanol (GO:0071361)	11	3	2.91	+	1.03	5.56E-01
positive regulation of T cell differentiation in thymus (GO:0033089)	11	3	2.91	+	1.03	5.56E-01
protein localization to axon (GO:0099612)	11	3	2.91	+	1.03	5.56E-01
peptidyl-arginine methylation (GO:0018216)	11	3	2.91	+	1.03	5.56E-01
cellular response to antibiotic (GO:0071236)	11	3	2.91	+	1.03	5.56E-01
response to electrical stimulus (GO:0051602)	22	6	5.82	+	1.03	5.25E-01
negative regulation of hematopoietic progenitor cell differentiation (GO:1901533)	11	3	2.91	+	1.03	5.56E-01
negative regulation of translation, ncRNA-mediated (GO:0040033)	11	3	2.91	+	1.03	5.56E-01
regulation of glucocorticoid metabolic process (GO:0031943)	11	3	2.91	+	1.03	5.56E-01
negative regulation of hormone biosynthetic process (GO:0032353)	11	3	2.91	+	1.03	5.56E-01
maintenance of protein location in nucleus (GO:0051457)	22	6	5.82	+	1.03	5.25E-01
regulation of cell-cell adhesion involved in gastrulation (GO:0070587)	11	3	2.91	+	1.03	5.56E-01
detection of temperature stimulus involved in sensory perception (GO:0050961)	22	6	5.82	+	1.03	5.25E-01
muscle organ morphogenesis (GO:0048644)	88	24	23.28	+	1.03	4.68E-01
cellular polysaccharide catabolic process (GO:0044247)	11	3	2.91	+	1.03	5.56E-01
metaphase plate congression (GO:0051310)	55	15	14.55	+	1.03	4.88E-01
positive regulation by symbiont of entry into host (GO:0075294)	11	3	2.91	+	1.03	5.56E-01
cell aggregation (GO:0098743)	22	6	5.82	+	1.03	5.25E-01
insulin metabolic process (GO:1901142)	11	3	2.91	+	1.03	5.56E-01
regulation of postsynaptic neurotransmitter receptor internalization (GO:0099149)	22	6	5.82	+	1.03	5.25E-01
small nucleolar ribonucleoprotein complex assembly (GO:0000491)	11	3	2.91	+	1.03	5.56E-01
positive regulation of fatty acid beta-oxidation (GO:0032000)	11	3	2.91	+	1.03	5.56E-01
mitotic G1 DNA damage checkpoint signaling (GO:0031571)	22	6	5.82	+	1.03	5.25E-01
positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901030)	11	3	2.91	+	1.03	5.56E-01
mesendoderm development (GO:0048382)	11	3	2.91	+	1.03	5.56E-01
positive regulation of mucus secretion (GO:0070257)	11	3	2.91	+	1.03	5.56E-01
atrioventricular canal development (GO:0036302)	11	3	2.91	+	1.03	5.56E-01
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	55	15	14.55	+	1.03	4.88E-01
regulation of mitochondrial translation (GO:0070129)	22	6	5.82	+	1.03	5.25E-01
regulation of ubiquitin protein ligase activity (GO:1904666)	22	6	5.82	+	1.03	5.25E-01
purine deoxyribonucleoside triphosphate metabolic process (GO:0009215)	11	3	2.91	+	1.03	5.56E-01
cellular response to interferon-alpha (GO:0035457)	11	3	2.91	+	1.03	5.56E-01
myeloid dendritic cell differentiation (GO:0043011)	22	6	5.82	+	1.03	5.25E-01
positive regulation of receptor clustering (GO:1903911)	11	3	2.91	+	1.03	5.56E-01
membrane repolarization during action potential (GO:0086011)	11	3	2.91	+	1.03	5.56E-01
indole-containing compound metabolic process (GO:0042430)	22	6	5.82	+	1.03	5.25E-01
miRNA mediated inhibition of translation (GO:0035278)	11	3	2.91	+	1.03	5.56E-01
dendrite extension (GO:0097484)	11	3	2.91	+	1.03	5.56E-01
regulation of type B pancreatic cell proliferation (GO:0061469)	11	3	2.91	+	1.03	5.56E-01
positive regulation of alpha-beta T cell proliferation (GO:0046641)	22	6	5.82	+	1.03	5.25E-01
gamma-delta T cell activation (GO:0046629)	11	3	2.91	+	1.03	5.56E-01
cardiac neural crest cell differentiation involved in heart development (GO:0061307)	11	3	2.91	+	1.03	5.56E-01
positive regulation of viral entry into host cell (GO:0046598)	11	3	2.91	+	1.03	5.56E-01
self proteolysis (GO:0097264)	11	3	2.91	+	1.03	5.56E-01
regulation of translation, ncRNA-mediated (GO:0045974)	11	3	2.91	+	1.03	5.56E-01
protein localization to ciliary membrane (GO:1903441)	11	3	2.91	+	1.03	5.56E-01
positive regulation of cerebellar granule cell precursor proliferation (GO:0021940)	11	3	2.91	+	1.03	5.56E-01
dendritic spine maintenance (GO:0097062)	11	3	2.91	+	1.03	5.56E-01
response to type I interferon (GO:0034340)	22	6	5.82	+	1.03	5.25E-01
adherens junction organization (GO:0034332)	44	12	11.64	+	1.03	4.97E-01
positive regulation of T cell cytokine production (GO:0002726)	22	6	5.82	+	1.03	5.25E-01
positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895)	44	12	11.64	+	1.03	4.97E-01
neuroepithelial cell differentiation (GO:0060563)	22	6	5.82	+	1.03	5.25E-01
secondary heart field specification (GO:0003139)	11	3	2.91	+	1.03	5.56E-01
learning or memory (GO:0007611)	301	82	79.62	+	1.03	4.09E-01
regulation of neuron differentiation (GO:0045664)	224	61	59.25	+	1.03	4.27E-01
nuclear chromosome segregation (GO:0098813)	191	52	50.52	+	1.03	4.36E-01
negative regulation of Wnt signaling pathway (GO:0030178)	158	43	41.79	+	1.03	4.46E-01
endocrine system development (GO:0035270)	125	34	33.06	+	1.03	4.58E-01
regulation of mononuclear cell proliferation (GO:0032944)	228	62	60.31	+	1.03	4.31E-01
biological regulation (GO:0065007)	11407	3100	3017.23	+	1.03	6.67E-03
lymphocyte proliferation (GO:0046651)	92	25	24.33	+	1.03	4.73E-01
biological adhesion (GO:0022610)	795	216	210.28	+	1.03	3.53E-01
head development (GO:0060322)	681	185	180.13	+	1.03	3.66E-01
muscle tissue morphogenesis (GO:0060415)	81	22	21.43	+	1.03	4.79E-01
photoreceptor cell differentiation (GO:0046530)	70	19	18.52	+	1.03	4.86E-01
lymphocyte differentiation (GO:0030098)	280	76	74.06	+	1.03	4.26E-01
immune response-activating signal transduction (GO:0002757)	140	38	37.03	+	1.03	4.58E-01
embryonic heart tube morphogenesis (GO:0003143)	70	19	18.52	+	1.03	4.86E-01
cell adhesion (GO:0007155)	785	213	207.64	+	1.03	3.61E-01
leukocyte chemotaxis (GO:0030595)	129	35	34.12	+	1.03	4.63E-01
male gonad development (GO:0008584)	129	35	34.12	+	1.03	4.63E-01
regulation of cilium assembly (GO:1902017)	59	16	15.61	+	1.03	4.94E-01
regulation of action potential (GO:0098900)	59	16	15.61	+	1.03	4.94E-01
regulation of membrane potential (GO:0042391)	439	119	116.12	+	1.02	4.06E-01
regulation of viral process (GO:0050792)	155	42	41.00	+	1.02	4.59E-01
immune response-regulating signaling pathway (GO:0002764)	155	42	41.00	+	1.02	4.59E-01
intermediate filament cytoskeleton organization (GO:0045104)	48	13	12.70	+	1.02	5.03E-01
regulation of chemokine production (GO:0032642)	96	26	25.39	+	1.02	4.78E-01
cellular response to virus (GO:0098586)	48	13	12.70	+	1.02	5.03E-01
negative regulation of microtubule polymerization or depolymerization (GO:0031111)	48	13	12.70	+	1.02	5.03E-01
somatic stem cell population maintenance (GO:0035019)	48	13	12.70	+	1.02	5.03E-01
xenobiotic metabolic process (GO:0006805)	85	23	22.48	+	1.02	4.85E-01
inorganic ion import across plasma membrane (GO:0099587)	85	23	22.48	+	1.02	4.85E-01
inorganic cation import across plasma membrane (GO:0098659)	85	23	22.48	+	1.02	4.85E-01
regulation of Rho protein signal transduction (GO:0035023)	85	23	22.48	+	1.02	4.85E-01
heart growth (GO:0060419)	37	10	9.79	+	1.02	5.15E-01
positive regulation of excitatory postsynaptic potential (GO:2000463)	37	10	9.79	+	1.02	5.15E-01
regulation of glycogen metabolic process (GO:0070873)	37	10	9.79	+	1.02	5.15E-01
regulation of mast cell degranulation (GO:0043304)	37	10	9.79	+	1.02	5.15E-01
T cell homeostasis (GO:0043029)	37	10	9.79	+	1.02	5.15E-01
icosanoid biosynthetic process (GO:0046456)	37	10	9.79	+	1.02	5.15E-01
heart looping (GO:0001947)	63	17	16.66	+	1.02	5.00E-01
inner ear receptor cell development (GO:0060119)	63	17	16.66	+	1.02	5.00E-01
cellular response to xenobiotic stimulus (GO:0071466)	89	24	23.54	+	1.02	4.90E-01
mitotic cell cycle checkpoint signaling (GO:0007093)	115	31	30.42	+	1.02	4.82E-01
immune system process (GO:0002376)	1970	531	521.08	+	1.02	3.29E-01
regulation of biological process (GO:0050789)	10851	2922	2870.17	+	1.02	6.45E-02
positive regulation of bone resorption (GO:0045780)	26	7	6.88	+	1.02	5.32E-01
positive regulation of myeloid cell differentiation (GO:0045639)	104	28	27.51	+	1.02	4.88E-01
cell adhesion mediated by integrin (GO:0033627)	26	7	6.88	+	1.02	5.32E-01
ganglioside metabolic process (GO:0001573)	26	7	6.88	+	1.02	5.32E-01
negative regulation of leukocyte differentiation (GO:1902106)	104	28	27.51	+	1.02	4.88E-01
positive regulation of ubiquitin-protein transferase activity (GO:0051443)	26	7	6.88	+	1.02	5.32E-01
autonomic nervous system development (GO:0048483)	52	14	13.75	+	1.02	5.09E-01
cleavage involved in rRNA processing (GO:0000469)	26	7	6.88	+	1.02	5.32E-01
interstrand cross-link repair (GO:0036297)	26	7	6.88	+	1.02	5.32E-01
histone phosphorylation (GO:0016572)	26	7	6.88	+	1.02	5.32E-01
development of primary male sexual characteristics (GO:0046546)	130	35	34.39	+	1.02	4.81E-01
positive regulation of vascular endothelial growth factor production (GO:0010575)	26	7	6.88	+	1.02	5.32E-01
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	130	35	34.39	+	1.02	4.81E-01
sex determination (GO:0007530)	26	7	6.88	+	1.02	5.32E-01
phospholipid transport (GO:0015914)	78	21	20.63	+	1.02	4.97E-01
male sex differentiation (GO:0046661)	156	42	41.26	+	1.02	4.75E-01
cardiac ventricle morphogenesis (GO:0003208)	78	21	20.63	+	1.02	4.97E-01
leukocyte activation (GO:0045321)	535	144	141.51	+	1.02	4.28E-01
mRNA splicing, via spliceosome (GO:0000398)	197	53	52.11	+	1.02	4.69E-01
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	197	53	52.11	+	1.02	4.69E-01
RNA splicing, via transesterification reactions (GO:0000375)	197	53	52.11	+	1.02	4.69E-01
transition metal ion transport (GO:0000041)	93	25	24.60	+	1.02	4.95E-01
receptor internalization (GO:0031623)	67	18	17.72	+	1.02	5.05E-01
regulation of neuronal synaptic plasticity (GO:0048168)	67	18	17.72	+	1.02	5.05E-01
regulation of nitric oxide metabolic process (GO:0080164)	67	18	17.72	+	1.02	5.05E-01
muscle organ development (GO:0007517)	268	72	70.89	+	1.02	4.63E-01
positive regulation of protein ubiquitination (GO:0031398)	108	29	28.57	+	1.02	4.93E-01
negative regulation of leukocyte activation (GO:0002695)	190	51	50.26	+	1.01	4.77E-01
negative regulation of cation channel activity (GO:2001258)	41	11	10.84	+	1.01	5.22E-01
positive regulation of multicellular organism growth (GO:0040018)	41	11	10.84	+	1.01	5.22E-01
response to cocaine (GO:0042220)	41	11	10.84	+	1.01	5.22E-01
regulation of cellular process (GO:0050794)	10381	2785	2745.85	+	1.01	1.29E-01
embryonic skeletal system development (GO:0048706)	138	37	36.50	+	1.01	4.89E-01
regulation of neural precursor cell proliferation (GO:2000177)	112	30	29.62	+	1.01	4.97E-01
anterior/posterior axis specification (GO:0009948)	56	15	14.81	+	1.01	5.15E-01
regulation of myelination (GO:0031641)	56	15	14.81	+	1.01	5.15E-01
positive regulation of DNA-binding transcription factor activity (GO:0051091)	254	68	67.18	+	1.01	4.77E-01
regulation of immunoglobulin production (GO:0002637)	71	19	18.78	+	1.01	5.11E-01
regulation of signal transduction by p53 class mediator (GO:1901796)	71	19	18.78	+	1.01	5.11E-01
regulation of defense response to virus (GO:0050688)	71	19	18.78	+	1.01	5.11E-01
DNA repair (GO:0006281)	400	107	105.80	+	1.01	4.66E-01
eye morphogenesis (GO:0048592)	172	46	45.50	+	1.01	4.90E-01
hair cycle process (GO:0022405)	101	27	26.72	+	1.01	5.04E-01
molting cycle process (GO:0022404)	101	27	26.72	+	1.01	5.04E-01
feeding behavior (GO:0007631)	101	27	26.72	+	1.01	5.04E-01
regulation of regulated secretory pathway (GO:1903305)	176	47	46.55	+	1.01	4.94E-01
lymphocyte activation (GO:0046649)	431	115	114.00	+	1.01	4.75E-01
action potential (GO:0001508)	90	24	23.81	+	1.01	5.11E-01
DNA methylation (GO:0006306)	45	12	11.90	+	1.01	5.27E-01
DNA alkylation (GO:0006305)	45	12	11.90	+	1.01	5.27E-01
spleen development (GO:0048536)	45	12	11.90	+	1.01	5.27E-01
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	45	12	11.90	+	1.01	5.27E-01
maturation of SSU-rRNA (GO:0030490)	45	12	11.90	+	1.01	5.27E-01
post-transcriptional gene silencing by RNA (GO:0035194)	45	12	11.90	+	1.01	5.27E-01
ectoderm development (GO:0007398)	15	4	3.97	+	1.01	5.60E-01
segment specification (GO:0007379)	15	4	3.97	+	1.01	5.60E-01
cranial nerve morphogenesis (GO:0021602)	30	8	7.94	+	1.01	5.38E-01
heart trabecula formation (GO:0060347)	15	4	3.97	+	1.01	5.60E-01
regulation of membrane repolarization (GO:0060306)	30	8	7.94	+	1.01	5.38E-01
nitric oxide mediated signal transduction (GO:0007263)	15	4	3.97	+	1.01	5.60E-01
smoothened signaling pathway (GO:0007224)	75	20	19.84	+	1.01	5.15E-01
inositol phosphate biosynthetic process (GO:0032958)	15	4	3.97	+	1.01	5.60E-01
ectodermal placode morphogenesis (GO:0071697)	15	4	3.97	+	1.01	5.60E-01
regulation of integrin-mediated signaling pathway (GO:2001044)	15	4	3.97	+	1.01	5.60E-01
rRNA-containing ribonucleoprotein complex export from nucleus (GO:0071428)	15	4	3.97	+	1.01	5.60E-01
response to hydroperoxide (GO:0033194)	15	4	3.97	+	1.01	5.60E-01
medium-chain fatty acid metabolic process (GO:0051791)	15	4	3.97	+	1.01	5.60E-01
neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0099645)	15	4	3.97	+	1.01	5.60E-01
regulation of rRNA processing (GO:2000232)	15	4	3.97	+	1.01	5.60E-01
protein localization to postsynaptic specialization membrane (GO:0099633)	15	4	3.97	+	1.01	5.60E-01
maintenance of synapse structure (GO:0099558)	15	4	3.97	+	1.01	5.60E-01
positive regulation by host of viral transcription (GO:0043923)	15	4	3.97	+	1.01	5.60E-01
acetyl-CoA biosynthetic process (GO:0006085)	15	4	3.97	+	1.01	5.60E-01
peptidyl-lysine dimethylation (GO:0018027)	15	4	3.97	+	1.01	5.60E-01
embryonic camera-type eye morphogenesis (GO:0048596)	30	8	7.94	+	1.01	5.38E-01
engulfment of apoptotic cell (GO:0043652)	15	4	3.97	+	1.01	5.60E-01
primary amino compound metabolic process (GO:1901160)	15	4	3.97	+	1.01	5.60E-01
cation transmembrane transport (GO:0098655)	450	120	119.03	+	1.01	4.77E-01
negative regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043518)	15	4	3.97	+	1.01	5.60E-01
postsynapse assembly (GO:0099068)	15	4	3.97	+	1.01	5.60E-01
response to superoxide (GO:0000303)	15	4	3.97	+	1.01	5.60E-01
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	30	8	7.94	+	1.01	5.38E-01
neurotrophin TRK receptor signaling pathway (GO:0048011)	15	4	3.97	+	1.01	5.60E-01
calcineurin-mediated signaling (GO:0097720)	15	4	3.97	+	1.01	5.60E-01
striated muscle cell development (GO:0055002)	60	16	15.87	+	1.01	5.20E-01
histone H3-K9 modification (GO:0061647)	15	4	3.97	+	1.01	5.60E-01
progesterone metabolic process (GO:0042448)	15	4	3.97	+	1.01	5.60E-01
positive regulation of voltage-gated potassium channel activity (GO:1903818)	15	4	3.97	+	1.01	5.60E-01
negative regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903799)	15	4	3.97	+	1.01	5.60E-01
myofibril assembly (GO:0030239)	60	16	15.87	+	1.01	5.20E-01
antigen processing and presentation of endogenous antigen (GO:0019883)	30	8	7.94	+	1.01	5.38E-01
activation of cysteine-type endopeptidase activity (GO:0097202)	15	4	3.97	+	1.01	5.60E-01
ectodermal placode formation (GO:0060788)	15	4	3.97	+	1.01	5.60E-01
keratinocyte development (GO:0003334)	15	4	3.97	+	1.01	5.60E-01
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	15	4	3.97	+	1.01	5.60E-01
mesenchymal cell proliferation (GO:0010463)	15	4	3.97	+	1.01	5.60E-01
hindbrain radial glia guided cell migration (GO:0021932)	15	4	3.97	+	1.01	5.60E-01
lymphocyte migration (GO:0072676)	60	16	15.87	+	1.01	5.20E-01
positive regulation of cell growth involved in cardiac muscle cell development (GO:0061051)	15	4	3.97	+	1.01	5.60E-01
olfactory bulb interneuron differentiation (GO:0021889)	15	4	3.97	+	1.01	5.60E-01
negative regulation of cartilage development (GO:0061037)	30	8	7.94	+	1.01	5.38E-01
immune response-activating cell surface receptor signaling pathway (GO:0002429)	139	37	36.77	+	1.01	5.07E-01
cellular respiration (GO:0045333)	124	33	32.80	+	1.01	5.09E-01
sensory organ development (GO:0007423)	594	158	157.12	+	1.01	4.83E-01
histone methylation (GO:0016571)	79	21	20.90	+	1.00	5.20E-01
activation of immune response (GO:0002253)	207	55	54.75	+	1.00	5.05E-01
biological_process (GO:0008150)	17405	4624	4603.75	+	1.00	6.11E-02
regulation of sister chromatid segregation (GO:0033045)	64	17	16.93	+	1.00	5.26E-01
regulation of gene silencing (GO:0060968)	64	17	16.93	+	1.00	5.26E-01
negative regulation of peptide secretion (GO:0002792)	64	17	16.93	+	1.00	5.26E-01
embryonic morphogenesis (GO:0048598)	610	162	161.35	+	1.00	4.90E-01
multicellular organismal signaling (GO:0035637)	113	30	29.89	+	1.00	5.16E-01
cellular response to light stimulus (GO:0071482)	98	26	25.92	+	1.00	5.20E-01
intermediate filament-based process (GO:0045103)	49	13	12.96	+	1.00	5.33E-01
sperm-egg recognition (GO:0035036)	49	13	12.96	+	1.00	5.33E-01
response to biotic stimulus (GO:0009607)	1165	309	308.15	+	1.00	4.88E-01
gonad development (GO:0008406)	215	57	56.87	+	1.00	5.11E-01
development of primary sexual characteristics (GO:0045137)	219	58	57.93	+	1.00	5.14E-01
positive regulation of osteoclast differentiation (GO:0045672)	34	9	8.99	+	1.00	5.44E-01
superoxide metabolic process (GO:0006801)	34	9	8.99	+	1.00	5.44E-01
neuronal action potential (GO:0019228)	34	9	8.99	+	1.00	5.44E-01
camera-type eye photoreceptor cell differentiation (GO:0060219)	34	9	8.99	+	1.00	5.44E-01
B cell homeostasis (GO:0001782)	34	9	8.99	+	1.00	5.44E-01
endoderm formation (GO:0001706)	34	9	8.99	+	1.00	5.44E-01
positive regulation of mast cell activation (GO:0033005)	34	9	8.99	+	1.00	5.44E-01
maturation of 5.8S rRNA (GO:0000460)	34	9	8.99	+	1.00	5.44E-01
developmental induction (GO:0031128)	34	9	8.99	+	1.00	5.44E-01
cyclic nucleotide metabolic process (GO:0009187)	34	9	8.99	+	1.00	5.44E-01
adult locomotory behavior (GO:0008344)	102	27	26.98	+	1.00	5.24E-01
regulation of cell fate commitment (GO:0010453)	34	9	8.99	+	1.00	5.44E-01
response to external biotic stimulus (GO:0043207)	1130	299	298.89	+	1.00	5.06E-01
forebrain development (GO:0030900)	378	100	99.98	+	1.00	5.13E-01
