




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	yeast_background.txt - REFLIST (4652)	upload_1 (3142)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
negative regulation of binding (GO:0051100)	6	4	4.05	-	.99	6.19E-01
tryptophan catabolic process to kynurenine (GO:0019441)	3	2	2.03	-	.99	6.70E-01
DNA integration (GO:0015074)	3	2	2.03	-	.99	6.70E-01
positive regulation of mRNA processing (GO:0050685)	3	2	2.03	-	.99	6.70E-01
polyol biosynthetic process (GO:0046173)	18	12	12.16	-	.99	5.58E-01
positive regulation of vitamin metabolic process (GO:0046136)	3	2	2.03	-	.99	6.70E-01
purine ribonucleoside catabolic process (GO:0046130)	3	2	2.03	-	.99	6.70E-01
nitrogen cycle metabolic process (GO:0071941)	6	4	4.05	-	.99	6.19E-01
hypoxanthine metabolic process (GO:0046100)	3	2	2.03	-	.99	6.70E-01
regulation of cation transmembrane transport (GO:1904062)	3	2	2.03	-	.99	6.70E-01
regulation of generation of precursor metabolites and energy (GO:0043467)	30	20	20.26	-	.99	5.36E-01
vesicle coating (GO:0006901)	3	2	2.03	-	.99	6.70E-01
farnesyl diphosphate biosynthetic process, mevalonate pathway (GO:0010142)	3	2	2.03	-	.99	6.70E-01
negative regulation of transport (GO:0051051)	9	6	6.08	-	.99	5.94E-01
kynurenine metabolic process (GO:0070189)	6	4	4.05	-	.99	6.19E-01
detection of chemical stimulus (GO:0009593)	6	4	4.05	-	.99	6.19E-01
regulation of mRNA 3'-end processing (GO:0031440)	6	4	4.05	-	.99	6.19E-01
regulation of exocytosis (GO:0017157)	9	6	6.08	-	.99	5.94E-01
cellular response to aldehyde (GO:0110096)	3	2	2.03	-	.99	6.70E-01
cellular detoxification of aldehyde (GO:0110095)	3	2	2.03	-	.99	6.70E-01
cytidine metabolic process (GO:0046087)	3	2	2.03	-	.99	6.70E-01
cell wall organization (GO:0071555)	177	118	119.55	-	.99	4.67E-01
external encapsulating structure organization (GO:0045229)	177	118	119.55	-	.99	4.67E-01
nucleotide phosphorylation (GO:0046939)	27	18	18.24	-	.99	5.40E-01
mitochondrion localization (GO:0051646)	27	18	18.24	-	.99	5.40E-01
negative regulation of RNA metabolic process (GO:0051253)	231	154	156.02	-	.99	4.55E-01
generation of precursor metabolites and energy (GO:0006091)	176	117	118.87	-	.98	4.55E-01
lipid metabolic process (GO:0006629)	304	202	205.32	-	.98	4.23E-01
organic hydroxy compound metabolic process (GO:1901615)	137	91	92.53	-	.98	4.63E-01
mRNA catabolic process (GO:0006402)	107	71	72.27	-	.98	4.71E-01
peptidyl-lysine modification (GO:0018205)	107	71	72.27	-	.98	4.71E-01
cellular component organization (GO:0016043)	1613	1070	1089.43	-	.98	2.39E-01
organic anion transport (GO:0015711)	98	65	66.19	-	.98	4.74E-01
regulation of cellular protein metabolic process (GO:0032268)	365	242	246.52	-	.98	3.98E-01
cell cycle process (GO:0022402)	430	285	290.43	-	.98	3.84E-01
gene silencing (GO:0016458)	86	57	58.09	-	.98	4.78E-01
cellular chemical homeostasis (GO:0055082)	172	114	116.17	-	.98	4.43E-01
sexual sporulation resulting in formation of a cellular spore (GO:0043935)	80	53	54.03	-	.98	4.80E-01
sexual sporulation (GO:0034293)	80	53	54.03	-	.98	4.80E-01
chromosome organization (GO:0051276)	453	300	305.96	-	.98	3.74E-01
negative regulation of metabolic process (GO:0009892)	473	313	319.47	-	.98	3.65E-01
nucleic acid transport (GO:0050657)	121	80	81.72	-	.98	4.52E-01
regulation of protein serine/threonine kinase activity (GO:0071900)	59	39	39.85	-	.98	4.88E-01
fungal-type cell wall organization or biogenesis (GO:0071852)	171	113	115.49	-	.98	4.31E-01
DNA replication (GO:0006260)	109	72	73.62	-	.98	4.55E-01
negative regulation of macromolecule metabolic process (GO:0010605)	436	288	294.48	-	.98	3.60E-01
cellular homeostasis (GO:0019725)	206	136	139.13	-	.98	4.15E-01
protein methylation (GO:0006479)	47	31	31.74	-	.98	4.94E-01
protein alkylation (GO:0008213)	47	31	31.74	-	.98	4.94E-01
fungal-type cell wall organization (GO:0031505)	141	93	95.23	-	.98	4.35E-01
homeostatic process (GO:0042592)	287	189	193.84	-	.98	3.77E-01
negative regulation of RNA biosynthetic process (GO:1902679)	225	148	151.97	-	.97	3.91E-01
negative regulation of transcription, DNA-templated (GO:0045892)	225	148	151.97	-	.97	3.91E-01
negative regulation of nucleic acid-templated transcription (GO:1903507)	225	148	151.97	-	.97	3.91E-01
macromolecule modification (GO:0043412)	786	517	530.87	-	.97	2.63E-01
nuclear-transcribed mRNA catabolic process (GO:0000956)	105	69	70.92	-	.97	4.40E-01
negative regulation of cellular metabolic process (GO:0031324)	411	270	277.59	-	.97	3.30E-01
regulation of protein metabolic process (GO:0051246)	376	247	253.95	-	.97	3.39E-01
organic substance catabolic process (GO:1901575)	644	423	434.96	-	.97	2.78E-01
reproductive process in single-celled organism (GO:0022413)	99	65	66.87	-	.97	4.41E-01
developmental process involved in reproduction (GO:0003006)	99	65	66.87	-	.97	4.41E-01
regulation of cellular biosynthetic process (GO:0031326)	777	510	524.79	-	.97	2.48E-01
nucleoside triphosphate biosynthetic process (GO:0009142)	32	21	21.61	-	.97	5.04E-01
regulation of gene silencing (GO:0060968)	32	21	21.61	-	.97	5.04E-01
regulation of biosynthetic process (GO:0009889)	779	511	526.14	-	.97	2.43E-01
regulation of gene expression, epigenetic (GO:0040029)	93	61	62.81	-	.97	4.41E-01
establishment of RNA localization (GO:0051236)	119	78	80.37	-	.97	4.23E-01
RNA transport (GO:0050658)	119	78	80.37	-	.97	4.23E-01
establishment or maintenance of cell polarity (GO:0007163)	87	57	58.76	-	.97	4.42E-01
ribonucleoside triphosphate metabolic process (GO:0009199)	29	19	19.59	-	.97	5.07E-01
regulation of macromolecule biosynthetic process (GO:0010556)	748	490	505.21	-	.97	2.38E-01
regulation of cellular macromolecule biosynthetic process (GO:2000112)	742	486	501.15	-	.97	2.38E-01
regulation of gene expression (GO:0010468)	762	499	514.66	-	.97	2.33E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	373	244	251.93	-	.97	3.15E-01
regulation of cellular catabolic process (GO:0031329)	156	102	105.36	-	.97	3.94E-01
ascospore formation (GO:0030437)	78	51	52.68	-	.97	4.43E-01
ion homeostasis (GO:0050801)	156	102	105.36	-	.97	3.94E-01
cell development (GO:0048468)	78	51	52.68	-	.97	4.43E-01
amino acid transport (GO:0006865)	52	34	35.12	-	.97	4.69E-01
rRNA transcription (GO:0009303)	26	17	17.56	-	.97	5.10E-01
chromatin organization (GO:0006325)	286	187	193.17	-	.97	3.40E-01
negative regulation of cell cycle (GO:0045786)	104	68	70.24	-	.97	4.24E-01
RNA catabolic process (GO:0006401)	127	83	85.78	-	.97	4.08E-01
protein-DNA complex assembly (GO:0065004)	98	64	66.19	-	.97	4.24E-01
nucleotide-excision repair (GO:0006289)	49	32	33.10	-	.97	4.70E-01
regulation of cellular metabolic process (GO:0031323)	989	645	667.98	-	.97	1.64E-01
regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)	23	15	15.53	-	.97	5.13E-01
lipid localization (GO:0010876)	69	45	46.60	-	.97	4.45E-01
regulation of endocytosis (GO:0030100)	23	15	15.53	-	.97	5.13E-01
organic hydroxy compound catabolic process (GO:1901616)	23	15	15.53	-	.97	5.13E-01
regulation of protein kinase activity (GO:0045859)	92	60	62.14	-	.97	4.25E-01
DNA-templated transcription, elongation (GO:0006354)	66	43	44.58	-	.96	4.45E-01
regulation of nitrogen compound metabolic process (GO:0051171)	921	600	622.05	-	.96	1.67E-01
negative regulation of biological process (GO:0048519)	628	409	424.16	-	.96	2.23E-01
transcription initiation from RNA polymerase II promoter (GO:0006367)	43	28	29.04	-	.96	4.72E-01
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	255	166	172.23	-	.96	3.30E-01
regulation of macromolecule metabolic process (GO:0060255)	977	636	659.87	-	.96	1.53E-01
positive regulation of catabolic process (GO:0009896)	106	69	71.59	-	.96	4.08E-01
regulation of catabolic process (GO:0009894)	166	108	112.12	-	.96	3.69E-01
positive regulation of cellular catabolic process (GO:0031331)	103	67	69.57	-	.96	4.08E-01
cellular copper ion homeostasis (GO:0006878)	20	13	13.51	-	.96	5.17E-01
regulation of cell cycle G2/M phase transition (GO:1902749)	20	13	13.51	-	.96	5.17E-01
copper ion homeostasis (GO:0055070)	20	13	13.51	-	.96	5.17E-01
negative regulation of autophagy (GO:0010507)	20	13	13.51	-	.96	5.17E-01
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	20	13	13.51	-	.96	5.17E-01
positive regulation of proteolysis (GO:0045862)	20	13	13.51	-	.96	5.17E-01
inorganic anion transmembrane transport (GO:0098661)	20	13	13.51	-	.96	5.17E-01
regulation of transferase activity (GO:0051338)	117	76	79.02	-	.96	3.93E-01
alcohol metabolic process (GO:0006066)	97	63	65.51	-	.96	4.08E-01
anion transport (GO:0006820)	134	87	90.50	-	.96	3.80E-01
regulation of metabolic process (GO:0019222)	1049	681	708.50	-	.96	1.24E-01
carbohydrate transport (GO:0008643)	37	24	24.99	-	.96	4.74E-01
cellular monovalent inorganic cation homeostasis (GO:0030004)	37	24	24.99	-	.96	4.74E-01
biological regulation (GO:0065007)	1753	1137	1183.99	-	.96	4.32E-02
reproduction of a single-celled organism (GO:0032505)	142	92	95.91	-	.96	3.67E-01
ion transport (GO:0006811)	312	202	210.73	-	.96	2.81E-01
heme biosynthetic process (GO:0006783)	17	11	11.48	-	.96	5.22E-01
porphyrin-containing compound biosynthetic process (GO:0006779)	17	11	11.48	-	.96	5.22E-01
regulation of cell cycle G1/S phase transition (GO:1902806)	17	11	11.48	-	.96	5.22E-01
positive regulation of conjugation with cellular fusion (GO:0031139)	17	11	11.48	-	.96	5.22E-01
positive regulation of conjugation (GO:0031136)	17	11	11.48	-	.96	5.22E-01
basic amino acid transport (GO:0015802)	17	11	11.48	-	.96	5.22E-01
RNA export from nucleus (GO:0006405)	85	55	57.41	-	.96	4.07E-01
inorganic anion transport (GO:0015698)	34	22	22.96	-	.96	4.75E-01
tetrapyrrole biosynthetic process (GO:0033014)	17	11	11.48	-	.96	5.22E-01
base-excision repair (GO:0006284)	17	11	11.48	-	.96	5.22E-01
cell morphogenesis (GO:0000902)	17	11	11.48	-	.96	5.22E-01
positive regulation of multi-organism process (GO:0043902)	17	11	11.48	-	.96	5.22E-01
pheromone-dependent signal transduction involved in conjugation with cellular fusion (GO:0000750)	17	11	11.48	-	.96	5.22E-01
nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' (GO:0034427)	17	11	11.48	-	.96	5.22E-01
positive regulation of transferase activity (GO:0051347)	51	33	34.45	-	.96	4.46E-01
nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay (GO:0070478)	17	11	11.48	-	.96	5.22E-01
positive regulation of endocytosis (GO:0045807)	17	11	11.48	-	.96	5.22E-01
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	17	11	11.48	-	.96	5.22E-01
signal transduction involved in positive regulation of conjugation with cellular fusion (GO:0032005)	17	11	11.48	-	.96	5.22E-01
nuclear pore organization (GO:0006999)	17	11	11.48	-	.96	5.22E-01
cation transmembrane transport (GO:0098655)	187	121	126.30	-	.96	3.36E-01
regulation of primary metabolic process (GO:0080090)	956	618	645.69	-	.96	1.15E-01
positive regulation of protein modification process (GO:0031401)	82	53	55.38	-	.96	4.07E-01
positive regulation of macromolecule metabolic process (GO:0010604)	483	312	326.22	-	.96	2.12E-01
dicarboxylic acid metabolic process (GO:0043648)	48	31	32.42	-	.96	4.47E-01
chromatin silencing (GO:0006342)	79	51	53.36	-	.96	4.07E-01
negative regulation of gene expression, epigenetic (GO:0045814)	79	51	53.36	-	.96	4.07E-01
regulation of carbohydrate biosynthetic process (GO:0043255)	31	20	20.94	-	.96	4.76E-01
nuclear DNA replication (GO:0033260)	31	20	20.94	-	.96	4.76E-01
cell cycle DNA replication (GO:0044786)	31	20	20.94	-	.96	4.76E-01
regulation of organelle assembly (GO:1902115)	31	20	20.94	-	.96	4.76E-01
negative regulation of cellular process (GO:0048523)	566	365	382.28	-	.95	1.80E-01
negative regulation of transcription by RNA polymerase II (GO:0000122)	121	78	81.72	-	.95	3.65E-01
regulation of mitotic cell cycle (GO:0007346)	121	78	81.72	-	.95	3.65E-01
G1/S transition of mitotic cell cycle (GO:0000082)	45	29	30.39	-	.95	4.47E-01
cell cycle G1/S phase transition (GO:0044843)	45	29	30.39	-	.95	4.47E-01
homologous recombination (GO:0035825)	45	29	30.39	-	.95	4.47E-01
cellular component disassembly (GO:0022411)	118	76	79.70	-	.95	3.64E-01
positive regulation of nitrogen compound metabolic process (GO:0051173)	477	307	322.17	-	.95	1.95E-01
regulation of nitrogen utilization (GO:0006808)	14	9	9.46	-	.95	5.27E-01
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	14	9	9.46	-	.95	5.27E-01
triglyceride metabolic process (GO:0006641)	14	9	9.46	-	.95	5.27E-01
acylglycerol metabolic process (GO:0006639)	14	9	9.46	-	.95	5.27E-01
transition metal ion transport (GO:0000041)	56	36	37.82	-	.95	4.24E-01
glucosamine-containing compound metabolic process (GO:1901071)	28	18	18.91	-	.95	4.77E-01
regulation of polysaccharide biosynthetic process (GO:0032885)	14	9	9.46	-	.95	5.27E-01
ribonucleoside triphosphate biosynthetic process (GO:0009201)	28	18	18.91	-	.95	4.77E-01
stress-activated protein kinase signaling cascade (GO:0031098)	14	9	9.46	-	.95	5.27E-01
regulation of glucan biosynthetic process (GO:0010962)	14	9	9.46	-	.95	5.27E-01
regulation of mitochondrion organization (GO:0010821)	14	9	9.46	-	.95	5.27E-01
gluconeogenesis (GO:0006094)	14	9	9.46	-	.95	5.27E-01
stress-activated MAPK cascade (GO:0051403)	14	9	9.46	-	.95	5.27E-01
establishment of cell polarity (GO:0030010)	56	36	37.82	-	.95	4.24E-01
negative regulation of DNA replication (GO:0008156)	14	9	9.46	-	.95	5.27E-01
protein depolymerization (GO:0051261)	14	9	9.46	-	.95	5.27E-01
hexose biosynthetic process (GO:0019319)	14	9	9.46	-	.95	5.27E-01
cation transport (GO:0006812)	221	142	149.27	-	.95	2.88E-01
regulation of cellular process (GO:0050794)	1383	888	934.09	-	.95	3.71E-02
inorganic ion transmembrane transport (GO:0098660)	162	104	109.42	-	.95	3.20E-01
regulation of DNA metabolic process (GO:0051052)	81	52	54.71	-	.95	3.89E-01
DNA conformation change (GO:0071103)	145	93	97.93	-	.95	3.29E-01
cellular response to oxygen-containing compound (GO:1901701)	39	25	26.34	-	.95	4.47E-01
energy derivation by oxidation of organic compounds (GO:0015980)	128	82	86.45	-	.95	3.38E-01
regulation of nucleobase-containing compound metabolic process (GO:0019219)	665	426	449.15	-	.95	1.24E-01
regulation of biological process (GO:0050789)	1448	927	977.99	-	.95	2.54E-02
regulation of histone modification (GO:0031056)	25	16	16.89	-	.95	4.79E-01
regulation of cell size (GO:0008361)	25	16	16.89	-	.95	4.79E-01
carbohydrate transmembrane transport (GO:0034219)	25	16	16.89	-	.95	4.79E-01
regulation of kinase activity (GO:0043549)	100	64	67.54	-	.95	3.61E-01
positive regulation of metabolic process (GO:0009893)	522	334	352.56	-	.95	1.54E-01
regulation of RNA metabolic process (GO:0051252)	616	394	416.05	-	.95	1.28E-01
negative regulation of cellular protein metabolic process (GO:0032269)	122	78	82.40	-	.95	3.37E-01
negative regulation of protein metabolic process (GO:0051248)	122	78	82.40	-	.95	3.37E-01
regulation of mitotic cell cycle phase transition (GO:1901990)	97	62	65.51	-	.95	3.60E-01
positive regulation of cellular metabolic process (GO:0031325)	518	331	349.86	-	.95	1.49E-01
poly(A)+ mRNA export from nucleus (GO:0016973)	36	23	24.31	-	.95	4.47E-01
nucleobase-containing compound transport (GO:0015931)	166	106	112.12	-	.95	2.98E-01
negative regulation of cell cycle phase transition (GO:1901988)	83	53	56.06	-	.95	3.72E-01
cellular component morphogenesis (GO:0032989)	47	30	31.74	-	.95	4.23E-01
regulation of nuclear division (GO:0051783)	58	37	39.17	-	.94	4.03E-01
regulation of phosphorylation (GO:0042325)	116	74	78.35	-	.94	3.35E-01
positive regulation of macromolecule biosynthetic process (GO:0010557)	348	222	235.04	-	.94	1.98E-01
regulation of transcription from RNA polymerase II promoter by pheromones (GO:0046019)	11	7	7.43	-	.94	5.35E-01
Golgi to plasma membrane transport (GO:0006893)	33	21	22.29	-	.94	4.47E-01
deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0000290)	11	7	7.43	-	.94	5.35E-01
iron ion transport (GO:0006826)	33	21	22.29	-	.94	4.47E-01
cell redox homeostasis (GO:0045454)	22	14	14.86	-	.94	4.80E-01
regulation of transcription by pheromones (GO:0009373)	11	7	7.43	-	.94	5.35E-01
posttranslational protein targeting to membrane, translocation (GO:0031204)	11	7	7.43	-	.94	5.35E-01
regulation of peptidase activity (GO:0052547)	11	7	7.43	-	.94	5.35E-01
nucleosome mobilization (GO:0042766)	11	7	7.43	-	.94	5.35E-01
protein export from nucleus (GO:0006611)	11	7	7.43	-	.94	5.35E-01
protein catabolic process in the vacuole (GO:0007039)	11	7	7.43	-	.94	5.35E-01
Golgi organization (GO:0007030)	33	21	22.29	-	.94	4.47E-01
regulation of attachment of spindle microtubules to kinetochore (GO:0051988)	11	7	7.43	-	.94	5.35E-01
positive regulation of chromosome segregation (GO:0051984)	11	7	7.43	-	.94	5.35E-01
protein localization to chromosome, centromeric region (GO:0071459)	11	7	7.43	-	.94	5.35E-01
positive regulation of macroautophagy (GO:0016239)	22	14	14.86	-	.94	4.80E-01
phosphorylated carbohydrate dephosphorylation (GO:0046838)	11	7	7.43	-	.94	5.35E-01
DNA replication initiation (GO:0006270)	33	21	22.29	-	.94	4.47E-01
amino acid catabolic process via Ehrlich pathway (GO:0000955)	11	7	7.43	-	.94	5.35E-01
cellular response to unfolded protein (GO:0034620)	33	21	22.29	-	.94	4.47E-01
regulation of cytoplasmic mRNA processing body assembly (GO:0010603)	11	7	7.43	-	.94	5.35E-01
nuclear retention of pre-mRNA at the site of transcription (GO:0071033)	11	7	7.43	-	.94	5.35E-01
negative regulation of silent mating-type cassette heterochromatin assembly (GO:0061186)	11	7	7.43	-	.94	5.35E-01
post-translational protein modification (GO:0043687)	11	7	7.43	-	.94	5.35E-01
purine-containing compound transmembrane transport (GO:0072530)	11	7	7.43	-	.94	5.35E-01
mitotic intra-S DNA damage checkpoint signaling (GO:0031573)	11	7	7.43	-	.94	5.35E-01
RNA polymerase II preinitiation complex assembly (GO:0051123)	33	21	22.29	-	.94	4.47E-01
regulation of response to endoplasmic reticulum stress (GO:1905897)	11	7	7.43	-	.94	5.35E-01
negative regulation of lipid biosynthetic process (GO:0051055)	11	7	7.43	-	.94	5.35E-01
protein modification process (GO:0036211)	689	438	465.36	-	.94	8.79E-02
cellular protein modification process (GO:0006464)	689	438	465.36	-	.94	8.79E-02
response to stress (GO:0006950)	664	422	448.47	-	.94	9.19E-02
positive regulation of cellular biosynthetic process (GO:0031328)	362	230	244.50	-	.94	1.76E-01
positive regulation of biosynthetic process (GO:0009891)	362	230	244.50	-	.94	1.76E-01
catabolic process (GO:0009056)	795	505	536.95	-	.94	6.72E-02
inorganic cation transmembrane transport (GO:0098662)	148	94	99.96	-	.94	2.93E-01
chemical homeostasis (GO:0048878)	200	127	135.08	-	.94	2.55E-01
phosphatidylinositol metabolic process (GO:0046488)	63	40	42.55	-	.94	3.84E-01
organelle localization (GO:0051640)	178	113	120.22	-	.94	2.69E-01
sporulation (GO:0043934)	115	73	77.67	-	.94	3.21E-01
anatomical structure formation involved in morphogenesis (GO:0048646)	115	73	77.67	-	.94	3.21E-01
regulation of protein phosphorylation (GO:0001932)	104	66	70.24	-	.94	3.31E-01
transcription preinitiation complex assembly (GO:0070897)	41	26	27.69	-	.94	4.22E-01
regulation of carbohydrate metabolic process (GO:0006109)	41	26	27.69	-	.94	4.22E-01
response to unfolded protein (GO:0006986)	41	26	27.69	-	.94	4.22E-01
cell differentiation (GO:0030154)	131	83	88.48	-	.94	3.00E-01
tricarboxylic acid cycle (GO:0006099)	30	19	20.26	-	.94	4.47E-01
cell cycle checkpoint signaling (GO:0000075)	79	50	53.36	-	.94	3.54E-01
cellular response to environmental stimulus (GO:0104004)	49	31	33.10	-	.94	4.00E-01
cellular response to abiotic stimulus (GO:0071214)	49	31	33.10	-	.94	4.00E-01
localization (GO:0051179)	1373	868	927.34	-	.94	1.04E-02
glycerophospholipid metabolic process (GO:0006650)	106	67	71.59	-	.94	3.17E-01
glucosamine-containing compound biosynthetic process (GO:1901073)	19	12	12.83	-	.94	4.81E-01
monovalent inorganic cation homeostasis (GO:0055067)	38	24	25.67	-	.94	4.21E-01
regulation of macroautophagy (GO:0016241)	38	24	25.67	-	.94	4.21E-01
regulation of cellular ketone metabolic process (GO:0010565)	19	12	12.83	-	.94	4.81E-01
chitin biosynthetic process (GO:0006031)	19	12	12.83	-	.94	4.81E-01
aminoglycan biosynthetic process (GO:0006023)	19	12	12.83	-	.94	4.81E-01
negative regulation of exit from mitosis (GO:0001100)	19	12	12.83	-	.94	4.81E-01
protein targeting to membrane (GO:0006612)	57	36	38.50	-	.94	3.82E-01
sporulation resulting in formation of a cellular spore (GO:0030435)	114	72	77.00	-	.94	3.07E-01
cellular response to stress (GO:0033554)	616	389	416.05	-	.93	8.02E-02
regulation of molecular function (GO:0065009)	377	238	254.63	-	.93	1.46E-01
response to chemical (GO:0042221)	442	279	298.53	-	.93	1.23E-01
cellular response to chemical stimulus (GO:0070887)	328	207	221.53	-	.93	1.64E-01
phospholipid metabolic process (GO:0006644)	138	87	93.21	-	.93	2.78E-01
regulation of RNA biosynthetic process (GO:2001141)	546	344	368.77	-	.93	8.83E-02
regulation of transcription, DNA-templated (GO:0006355)	546	344	368.77	-	.93	8.83E-02
regulation of nucleic acid-templated transcription (GO:1903506)	546	344	368.77	-	.93	8.83E-02
developmental process (GO:0032502)	154	97	104.01	-	.93	2.61E-01
positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003)	27	17	18.24	-	.93	4.46E-01
chitin metabolic process (GO:0006030)	27	17	18.24	-	.93	4.46E-01
aminoglycan metabolic process (GO:0006022)	27	17	18.24	-	.93	4.46E-01
DNA-dependent DNA replication (GO:0006261)	97	61	65.51	-	.93	3.13E-01
anatomical structure development (GO:0048856)	132	83	89.15	-	.93	2.75E-01
anatomical structure morphogenesis (GO:0009653)	132	83	89.15	-	.93	2.75E-01
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	369	232	249.23	-	.93	1.34E-01
secondary alcohol metabolic process (GO:1902652)	35	22	23.64	-	.93	4.20E-01
positive regulation of transport (GO:0051050)	35	22	23.64	-	.93	4.20E-01
sno(s)RNA processing (GO:0043144)	43	27	29.04	-	.93	3.98E-01
establishment of localization (GO:0051234)	1236	776	834.80	-	.93	8.90E-03
regulation of cellular protein localization (GO:1903827)	51	32	34.45	-	.93	3.79E-01
negative regulation of catalytic activity (GO:0043086)	59	37	39.85	-	.93	3.62E-01
glycerolipid metabolic process (GO:0046486)	118	74	79.70	-	.93	2.82E-01
regulation of cellular response to stress (GO:0080135)	59	37	39.85	-	.93	3.62E-01
response to stimulus (GO:0050896)	1002	628	676.76	-	.93	1.75E-02
cellular catabolic process (GO:0044248)	706	442	476.84	-	.93	4.28E-02
transport (GO:0006810)	1205	754	813.87	-	.93	7.47E-03
signal transduction (GO:0007165)	291	182	196.54	-	.93	1.50E-01
signaling (GO:0023052)	291	182	196.54	-	.93	1.50E-01
positive regulation of RNA metabolic process (GO:0051254)	352	220	237.74	-	.93	1.22E-01
intracellular signal transduction (GO:0035556)	224	140	151.29	-	.93	1.85E-01
protein localization to chromosome (GO:0034502)	24	15	16.21	-	.93	4.46E-01
dicarboxylic acid biosynthetic process (GO:0043650)	24	15	16.21	-	.93	4.46E-01
alcohol biosynthetic process (GO:0046165)	56	35	37.82	-	.93	3.61E-01
regulation of MAPK cascade (GO:0043408)	24	15	16.21	-	.93	4.46E-01
regulation of actomyosin structure organization (GO:0110020)	8	5	5.40	-	.93	5.46E-01
response to UV (GO:0009411)	8	5	5.40	-	.93	5.46E-01
folic acid-containing compound metabolic process (GO:0006760)	16	10	10.81	-	.93	4.83E-01
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	32	20	21.61	-	.93	4.18E-01
regulation of cellular protein catabolic process (GO:1903362)	16	10	10.81	-	.93	4.83E-01
regulation of sulfur metabolic process (GO:0042762)	8	5	5.40	-	.93	5.46E-01
cytokinesis, site selection (GO:0007105)	8	5	5.40	-	.93	5.46E-01
phosphatidic acid biosynthetic process (GO:0006654)	8	5	5.40	-	.93	5.46E-01
arginine metabolic process (GO:0006525)	16	10	10.81	-	.93	4.83E-01
vesicle cargo loading (GO:0035459)	8	5	5.40	-	.93	5.46E-01
cellular response to salt stress (GO:0071472)	8	5	5.40	-	.93	5.46E-01
manganese ion transmembrane transport (GO:0071421)	8	5	5.40	-	.93	5.46E-01
demethylation (GO:0070988)	8	5	5.40	-	.93	5.46E-01
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	16	10	10.81	-	.93	4.83E-01
purine nucleoside biosynthetic process (GO:0042451)	8	5	5.40	-	.93	5.46E-01
negative regulation of cell division (GO:0051782)	8	5	5.40	-	.93	5.46E-01
regulation of cytoplasmic translational elongation (GO:1900247)	8	5	5.40	-	.93	5.46E-01
detection of stimulus (GO:0051606)	8	5	5.40	-	.93	5.46E-01
positive regulation of ribosomal protein gene transcription by RNA polymerase II (GO:0060963)	8	5	5.40	-	.93	5.46E-01
negative regulation of cytokinesis (GO:0032466)	8	5	5.40	-	.93	5.46E-01
negative regulation of cellular carbohydrate metabolic process (GO:0010677)	16	10	10.81	-	.93	4.83E-01
negative regulation of phospholipid biosynthetic process (GO:0071072)	8	5	5.40	-	.93	5.46E-01
glyoxylate cycle (GO:0006097)	8	5	5.40	-	.93	5.46E-01
nitrogen utilization (GO:0019740)	8	5	5.40	-	.93	5.46E-01
glycerophospholipid catabolic process (GO:0046475)	8	5	5.40	-	.93	5.46E-01
phosphatidic acid metabolic process (GO:0046473)	8	5	5.40	-	.93	5.46E-01
negative regulation of ribosomal DNA heterochromatin assembly (GO:0061188)	8	5	5.40	-	.93	5.46E-01
negative regulation of carbohydrate metabolic process (GO:0045912)	16	10	10.81	-	.93	4.83E-01
monosaccharide biosynthetic process (GO:0046364)	16	10	10.81	-	.93	4.83E-01
cellular bud neck septin ring organization (GO:0032186)	8	5	5.40	-	.93	5.46E-01
protein sumoylation (GO:0016925)	16	10	10.81	-	.93	4.83E-01
negative regulation of proteolysis (GO:0045861)	8	5	5.40	-	.93	5.46E-01
negative regulation of phospholipid metabolic process (GO:1903726)	8	5	5.40	-	.93	5.46E-01
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	8	5	5.40	-	.93	5.46E-01
negative regulation of actin nucleation (GO:0051126)	8	5	5.40	-	.93	5.46E-01
peptidyl-serine dephosphorylation (GO:0070262)	8	5	5.40	-	.93	5.46E-01
purine ribonucleoside biosynthetic process (GO:0046129)	8	5	5.40	-	.93	5.46E-01
negative regulation of developmental process (GO:0051093)	8	5	5.40	-	.93	5.46E-01
histone exchange (GO:0043486)	16	10	10.81	-	.93	4.83E-01
positive regulation of biological process (GO:0048518)	683	426	461.30	-	.92	3.86E-02
