




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	yeast_background.txt - REFLIST (4652)	upload_1 (3741)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
cellular aldehyde metabolic process (GO:0006081)	33	30	26.54	+	1.13	2.75E-01
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	11	10	8.85	+	1.13	3.92E-01
U5 snRNA 3'-end processing (GO:0034476)	11	10	8.85	+	1.13	3.92E-01
negative regulation of silent mating-type cassette heterochromatin assembly (GO:0061186)	11	10	8.85	+	1.13	3.92E-01
positive regulation of TORC1 signaling (GO:1904263)	11	10	8.85	+	1.13	3.92E-01
positive regulation of TOR signaling (GO:0032008)	11	10	8.85	+	1.13	3.92E-01
regulation of response to endoplasmic reticulum stress (GO:1905897)	11	10	8.85	+	1.13	3.92E-01
purine ribonucleoside metabolic process (GO:0046128)	11	10	8.85	+	1.13	3.92E-01
cellular polysaccharide biosynthetic process (GO:0033692)	33	30	26.54	+	1.13	2.75E-01
sno(s)RNA processing (GO:0043144)	43	39	34.58	+	1.13	2.47E-01
ncRNA export from nucleus (GO:0097064)	32	29	25.73	+	1.13	2.84E-01
septin cytoskeleton organization (GO:0032185)	32	29	25.73	+	1.13	2.84E-01
protein targeting to mitochondrion (GO:0006626)	63	57	50.66	+	1.13	2.02E-01
alpha-amino acid biosynthetic process (GO:1901607)	105	95	84.44	+	1.13	1.35E-01
amino acid transmembrane transport (GO:0003333)	42	38	33.78	+	1.13	2.54E-01
polyadenylation-dependent RNA catabolic process (GO:0043633)	21	19	16.89	+	1.13	3.35E-01
regulation of protein stability (GO:0031647)	21	19	16.89	+	1.13	3.35E-01
glucose 6-phosphate metabolic process (GO:0051156)	21	19	16.89	+	1.13	3.35E-01
response to reactive oxygen species (GO:0000302)	21	19	16.89	+	1.13	3.35E-01
organonitrogen compound biosynthetic process (GO:1901566)	829	750	666.66	+	1.13	2.42E-04
sulfur compound biosynthetic process (GO:0044272)	73	66	58.70	+	1.12	1.84E-01
amino acid transport (GO:0006865)	52	47	41.82	+	1.12	2.30E-01
glucan biosynthetic process (GO:0009250)	31	28	24.93	+	1.12	2.94E-01
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	31	28	24.93	+	1.12	2.94E-01
transcription preinitiation complex assembly (GO:0070897)	41	37	32.97	+	1.12	2.63E-01
monocarboxylic acid biosynthetic process (GO:0072330)	51	46	41.01	+	1.12	2.36E-01
organic acid biosynthetic process (GO:0016053)	182	164	146.36	+	1.12	7.60E-02
fatty acid metabolic process (GO:0006631)	60	54	48.25	+	1.12	2.20E-01
amino sugar metabolic process (GO:0006040)	30	27	24.13	+	1.12	3.05E-01
establishment of sister chromatid cohesion (GO:0034085)	10	9	8.04	+	1.12	4.13E-01
cellular copper ion homeostasis (GO:0006878)	20	18	16.08	+	1.12	3.48E-01
vitamin B6 biosynthetic process (GO:0042819)	10	9	8.04	+	1.12	4.13E-01
establishment of mitotic spindle orientation (GO:0000132)	10	9	8.04	+	1.12	4.13E-01
acyl-CoA metabolic process (GO:0006637)	20	18	16.08	+	1.12	3.48E-01
amino acid salvage (GO:0043102)	10	9	8.04	+	1.12	4.13E-01
purine-containing compound salvage (GO:0043101)	10	9	8.04	+	1.12	4.13E-01
coenzyme A metabolic process (GO:0015936)	10	9	8.04	+	1.12	4.13E-01
cytoplasmic microtubule organization (GO:0031122)	10	9	8.04	+	1.12	4.13E-01
tubulin complex assembly (GO:0007021)	10	9	8.04	+	1.12	4.13E-01
telomere maintenance via telomerase (GO:0007004)	10	9	8.04	+	1.12	4.13E-01
copper ion homeostasis (GO:0055070)	20	18	16.08	+	1.12	3.48E-01
leucine metabolic process (GO:0006551)	10	9	8.04	+	1.12	4.13E-01
nucleobase transport (GO:0015851)	10	9	8.04	+	1.12	4.13E-01
nucleoside biosynthetic process (GO:0009163)	10	9	8.04	+	1.12	4.13E-01
regulation of peptidyl-lysine acetylation (GO:2000756)	10	9	8.04	+	1.12	4.13E-01
thioester metabolic process (GO:0035383)	20	18	16.08	+	1.12	3.48E-01
regulation of nucleocytoplasmic transport (GO:0046822)	20	18	16.08	+	1.12	3.48E-01
ribonucleoside biosynthetic process (GO:0042455)	10	9	8.04	+	1.12	4.13E-01
nucleosome assembly (GO:0006334)	20	18	16.08	+	1.12	3.48E-01
L-methionine salvage (GO:0071267)	10	9	8.04	+	1.12	4.13E-01
lagging strand elongation (GO:0006273)	10	9	8.04	+	1.12	4.13E-01
DNA unwinding involved in DNA replication (GO:0006268)	10	9	8.04	+	1.12	4.13E-01
amino acid catabolic process to alcohol via Ehrlich pathway (GO:0000947)	10	9	8.04	+	1.12	4.13E-01
regulation of protein acetylation (GO:1901983)	10	9	8.04	+	1.12	4.13E-01
mRNA export from nucleus in response to heat stress (GO:0031990)	10	9	8.04	+	1.12	4.13E-01
regulation of histone acetylation (GO:0035065)	10	9	8.04	+	1.12	4.13E-01
regulation of endoplasmic reticulum unfolded protein response (GO:1900101)	10	9	8.04	+	1.12	4.13E-01
meiotic DNA double-strand break formation (GO:0042138)	10	9	8.04	+	1.12	4.13E-01
primary alcohol metabolic process (GO:0034308)	10	9	8.04	+	1.12	4.13E-01
establishment of spindle orientation (GO:0051294)	10	9	8.04	+	1.12	4.13E-01
beta-glucan biosynthetic process (GO:0051274)	20	18	16.08	+	1.12	3.48E-01
beta-glucan metabolic process (GO:0051273)	20	18	16.08	+	1.12	3.48E-01
inorganic anion transmembrane transport (GO:0098661)	20	18	16.08	+	1.12	3.48E-01
aldehyde biosynthetic process (GO:0046184)	10	9	8.04	+	1.12	4.13E-01
regulation of binding (GO:0051098)	20	18	16.08	+	1.12	3.48E-01
regulation of helicase activity (GO:0051095)	10	9	8.04	+	1.12	4.13E-01
generation of catalytic spliceosome for second transesterification step (GO:0000350)	10	9	8.04	+	1.12	4.13E-01
pentose metabolic process (GO:0019321)	10	9	8.04	+	1.12	4.13E-01
hexose catabolic process (GO:0019320)	10	9	8.04	+	1.12	4.13E-01
alpha-amino acid metabolic process (GO:1901605)	159	143	127.86	+	1.12	9.55E-02
carboxylic acid metabolic process (GO:0019752)	377	339	303.17	+	1.12	1.84E-02
carboxylic acid biosynthetic process (GO:0046394)	178	160	143.14	+	1.12	8.34E-02
carbohydrate biosynthetic process (GO:0016051)	59	53	47.45	+	1.12	2.27E-01
vitamin biosynthetic process (GO:0009110)	49	44	39.40	+	1.12	2.51E-01
water-soluble vitamin biosynthetic process (GO:0042364)	49	44	39.40	+	1.12	2.51E-01
organic acid catabolic process (GO:0016054)	88	79	70.77	+	1.12	1.76E-01
organic acid metabolic process (GO:0006082)	398	357	320.06	+	1.12	1.77E-02
purine nucleoside bisphosphate metabolic process (GO:0034032)	29	26	23.32	+	1.11	3.16E-01
ribonucleoside diphosphate metabolic process (GO:0009185)	29	26	23.32	+	1.11	3.16E-01
translational elongation (GO:0006414)	29	26	23.32	+	1.11	3.16E-01
DNA strand elongation (GO:0022616)	29	26	23.32	+	1.11	3.16E-01
cell death (GO:0008219)	29	26	23.32	+	1.11	3.16E-01
ribonucleoside bisphosphate metabolic process (GO:0033875)	29	26	23.32	+	1.11	3.16E-01
programmed cell death (GO:0012501)	29	26	23.32	+	1.11	3.16E-01
nucleoside bisphosphate metabolic process (GO:0033865)	29	26	23.32	+	1.11	3.16E-01
apoptotic process (GO:0006915)	29	26	23.32	+	1.11	3.16E-01
oxoacid metabolic process (GO:0043436)	395	354	317.65	+	1.11	1.89E-02
RNA processing (GO:0006396)	525	470	422.19	+	1.11	7.91E-03
rDNA heterochromatin assembly (GO:0000183)	19	17	15.28	+	1.11	3.63E-01
sister chromatid cohesion (GO:0007062)	38	34	30.56	+	1.11	2.89E-01
tRNA transport (GO:0051031)	19	17	15.28	+	1.11	3.63E-01
methylation (GO:0032259)	104	93	83.63	+	1.11	1.63E-01
carboxylic acid catabolic process (GO:0046395)	85	76	68.35	+	1.11	1.90E-01
macromolecule methylation (GO:0043414)	85	76	68.35	+	1.11	1.90E-01
purine nucleotide biosynthetic process (GO:0006164)	66	59	53.08	+	1.11	2.24E-01
glucosamine-containing compound metabolic process (GO:1901071)	28	25	22.52	+	1.11	3.27E-01
nucleoside metabolic process (GO:0009116)	28	25	22.52	+	1.11	3.27E-01
regulation of response to stress (GO:0080134)	65	58	52.27	+	1.11	2.30E-01
nuclear export (GO:0051168)	120	107	96.50	+	1.11	1.51E-01
gene expression (GO:0010467)	1103	983	887.00	+	1.11	1.41E-04
pyridoxal phosphate biosynthetic process (GO:0042823)	9	8	7.24	+	1.11	4.37E-01
pyridoxal phosphate metabolic process (GO:0042822)	9	8	7.24	+	1.11	4.37E-01
mRNA modification (GO:0016556)	9	8	7.24	+	1.11	4.37E-01
porphyrin-containing compound metabolic process (GO:0006778)	18	16	14.48	+	1.11	3.78E-01
water-soluble vitamin metabolic process (GO:0006767)	54	48	43.43	+	1.11	2.62E-01
vitamin metabolic process (GO:0006766)	54	48	43.43	+	1.11	2.62E-01
oligosaccharide metabolic process (GO:0009311)	27	24	21.71	+	1.11	3.39E-01
posttranslational protein targeting to endoplasmic reticulum membrane (GO:0006620)	18	16	14.48	+	1.11	3.78E-01
mitotic spindle elongation (GO:0000022)	9	8	7.24	+	1.11	4.37E-01
L-phenylalanine metabolic process (GO:0006558)	9	8	7.24	+	1.11	4.37E-01
regulation of histone methylation (GO:0031060)	9	8	7.24	+	1.11	4.37E-01
purine ribonucleoside diphosphate metabolic process (GO:0009179)	27	24	21.71	+	1.11	3.39E-01
aromatic amino acid transport (GO:0015801)	9	8	7.24	+	1.11	4.37E-01
pyrimidine nucleoside triphosphate biosynthetic process (GO:0009148)	9	8	7.24	+	1.11	4.37E-01
mitochondrial protein processing (GO:0034982)	9	8	7.24	+	1.11	4.37E-01
purine nucleoside diphosphate metabolic process (GO:0009135)	27	24	21.71	+	1.11	3.39E-01
regulation of translational initiation (GO:0006446)	27	24	21.71	+	1.11	3.39E-01
error-free translesion synthesis (GO:0070987)	9	8	7.24	+	1.11	4.37E-01
regulation of intracellular protein transport (GO:0033157)	18	16	14.48	+	1.11	3.78E-01
fungal-type cell wall beta-glucan biosynthetic process (GO:0070880)	9	8	7.24	+	1.11	4.37E-01
protein localization to nuclear envelope (GO:0090435)	9	8	7.24	+	1.11	4.37E-01
fungal-type cell wall beta-glucan metabolic process (GO:0070879)	9	8	7.24	+	1.11	4.37E-01
ammonium transport (GO:0015696)	9	8	7.24	+	1.11	4.37E-01
tetrapyrrole metabolic process (GO:0033013)	18	16	14.48	+	1.11	3.78E-01
peptidyl-proline modification (GO:0018208)	18	16	14.48	+	1.11	3.78E-01
'de novo' pyrimidine nucleobase biosynthetic process (GO:0006207)	9	8	7.24	+	1.11	4.37E-01
ribonucleoprotein complex localization (GO:0071166)	117	104	94.09	+	1.11	1.63E-01
regulation of mitotic spindle pole body separation (GO:0010695)	9	8	7.24	+	1.11	4.37E-01
heme metabolic process (GO:0042168)	18	16	14.48	+	1.11	3.78E-01
nuclear polyadenylation-dependent CUT catabolic process (GO:0071039)	9	8	7.24	+	1.11	4.37E-01
ethanol metabolic process (GO:0006067)	9	8	7.24	+	1.11	4.37E-01
erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process (GO:1902221)	9	8	7.24	+	1.11	4.37E-01
chitin metabolic process (GO:0006030)	27	24	21.71	+	1.11	3.39E-01
endoplasmic reticulum membrane organization (GO:0090158)	9	8	7.24	+	1.11	4.37E-01
establishment of protein localization to mitochondrial membrane (GO:0090151)	27	24	21.71	+	1.11	3.39E-01
aminoglycan metabolic process (GO:0006022)	27	24	21.71	+	1.11	3.39E-01
calcium-mediated signaling (GO:0019722)	9	8	7.24	+	1.11	4.37E-01
vacuolar transmembrane transport (GO:0034486)	9	8	7.24	+	1.11	4.37E-01
cell wall beta-glucan biosynthetic process (GO:0034410)	9	8	7.24	+	1.11	4.37E-01
cell wall beta-glucan metabolic process (GO:0034406)	9	8	7.24	+	1.11	4.37E-01
positive regulation of pseudohyphal growth (GO:2000222)	9	8	7.24	+	1.11	4.37E-01
regulation of ER to Golgi vesicle-mediated transport (GO:0060628)	9	8	7.24	+	1.11	4.37E-01
ncRNA transcription (GO:0098781)	54	48	43.43	+	1.11	2.62E-01
spindle elongation (GO:0051231)	9	8	7.24	+	1.11	4.37E-01
purine-containing compound biosynthetic process (GO:0072522)	72	64	57.90	+	1.11	2.26E-01
L-methionine salvage from methylthioadenosine (GO:0019509)	9	8	7.24	+	1.11	4.37E-01
cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000448)	9	8	7.24	+	1.11	4.37E-01
ammonium transmembrane transport (GO:0072488)	9	8	7.24	+	1.11	4.37E-01
ribonucleoprotein complex export from nucleus (GO:0071426)	116	103	93.28	+	1.10	1.67E-01
purine nucleotide metabolic process (GO:0006163)	106	94	85.24	+	1.10	1.82E-01
cellular nitrogen compound biosynthetic process (GO:0044271)	836	741	672.29	+	1.10	2.04E-03
ribose phosphate biosynthetic process (GO:0046390)	79	70	63.53	+	1.10	2.22E-01
small molecule biosynthetic process (GO:0044283)	315	279	253.31	+	1.10	5.22E-02
purine-containing compound metabolic process (GO:0072521)	122	108	98.11	+	1.10	1.68E-01
ADP metabolic process (GO:0046031)	26	23	20.91	+	1.10	3.52E-01
rRNA transcription (GO:0009303)	26	23	20.91	+	1.10	3.52E-01
nucleoside diphosphate phosphorylation (GO:0006165)	26	23	20.91	+	1.10	3.52E-01
cellular carbohydrate biosynthetic process (GO:0034637)	43	38	34.58	+	1.10	3.02E-01
ncRNA 3'-end processing (GO:0043628)	43	38	34.58	+	1.10	3.02E-01
nuclear transport (GO:0051169)	163	144	131.08	+	1.10	1.35E-01
nucleocytoplasmic transport (GO:0006913)	163	144	131.08	+	1.10	1.35E-01
ribose phosphate metabolic process (GO:0019693)	120	106	96.50	+	1.10	1.76E-01
heme biosynthetic process (GO:0006783)	17	15	13.67	+	1.10	3.95E-01
porphyrin-containing compound biosynthetic process (GO:0006779)	17	15	13.67	+	1.10	3.95E-01
calcium ion homeostasis (GO:0055074)	17	15	13.67	+	1.10	3.95E-01
basic amino acid transport (GO:0015802)	17	15	13.67	+	1.10	3.95E-01
pteridine-containing compound metabolic process (GO:0042558)	17	15	13.67	+	1.10	3.95E-01
chromatin silencing at telomere (GO:0006348)	51	45	41.01	+	1.10	2.86E-01
tetrapyrrole biosynthetic process (GO:0033014)	17	15	13.67	+	1.10	3.95E-01
NAD metabolic process (GO:0019674)	17	15	13.67	+	1.10	3.95E-01
monosaccharide catabolic process (GO:0046365)	17	15	13.67	+	1.10	3.95E-01
nuclear pore organization (GO:0006999)	17	15	13.67	+	1.10	3.95E-01
regulation of cellular response to stress (GO:0080135)	59	52	47.45	+	1.10	2.72E-01
pyrimidine-containing compound metabolic process (GO:0072527)	42	37	33.78	+	1.10	3.11E-01
cellular macromolecule biosynthetic process (GO:0034645)	834	734	670.68	+	1.09	4.02E-03
regulation of histone modification (GO:0031056)	25	22	20.10	+	1.09	3.65E-01
cellular amino acid catabolic process (GO:0009063)	50	44	40.21	+	1.09	2.94E-01
regulation of establishment of protein localization (GO:0070201)	25	22	20.10	+	1.09	3.65E-01
sulfur compound transport (GO:0072348)	25	22	20.10	+	1.09	3.65E-01
purine ribonucleotide biosynthetic process (GO:0009152)	58	51	46.64	+	1.09	2.79E-01
macromolecule biosynthetic process (GO:0009059)	850	747	683.54	+	1.09	4.18E-03
DNA replication initiation (GO:0006270)	33	29	26.54	+	1.09	3.41E-01
cellular response to unfolded protein (GO:0034620)	33	29	26.54	+	1.09	3.41E-01
protein localization to cell periphery (GO:1990778)	33	29	26.54	+	1.09	3.41E-01
glycosyl compound metabolic process (GO:1901657)	33	29	26.54	+	1.09	3.41E-01
RNA polymerase II preinitiation complex assembly (GO:0051123)	33	29	26.54	+	1.09	3.41E-01
protein-DNA complex assembly (GO:0065004)	98	86	78.81	+	1.09	2.21E-01
sno(s)RNA metabolic process (GO:0016074)	49	43	39.40	+	1.09	3.03E-01
carbohydrate derivative biosynthetic process (GO:1901137)	228	200	183.35	+	1.09	1.12E-01
ribonucleotide biosynthetic process (GO:0009260)	73	64	58.70	+	1.09	2.60E-01
anion transmembrane transport (GO:0098656)	81	71	65.14	+	1.09	2.48E-01
purine ribonucleotide metabolic process (GO:0009150)	97	85	78.00	+	1.09	2.26E-01
ribonucleotide metabolic process (GO:0009259)	113	99	90.87	+	1.09	2.07E-01
small molecule metabolic process (GO:0044281)	684	599	550.05	+	1.09	1.34E-02
establishment of mitotic sister chromatid cohesion (GO:0034087)	8	7	6.43	+	1.09	4.63E-01
cellular calcium ion homeostasis (GO:0006874)	16	14	12.87	+	1.09	4.12E-01
copper ion transport (GO:0006825)	16	14	12.87	+	1.09	4.12E-01
polysaccharide catabolic process (GO:0000272)	16	14	12.87	+	1.09	4.12E-01
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	32	28	25.73	+	1.09	3.53E-01
ribonucleoprotein complex disassembly (GO:0032988)	8	7	6.43	+	1.09	4.63E-01
oligosaccharide biosynthetic process (GO:0009312)	8	7	6.43	+	1.09	4.63E-01
regulation of division septum assembly (GO:0032955)	8	7	6.43	+	1.09	4.63E-01
thiamine diphosphate biosynthetic process (GO:0009229)	8	7	6.43	+	1.09	4.63E-01
valine metabolic process (GO:0006573)	8	7	6.43	+	1.09	4.63E-01
tyrosine metabolic process (GO:0006570)	8	7	6.43	+	1.09	4.63E-01
ribonucleoside metabolic process (GO:0009119)	16	14	12.87	+	1.09	4.12E-01
positive regulation of peptidyl-lysine acetylation (GO:2000758)	8	7	6.43	+	1.09	4.63E-01
cellular response to salt stress (GO:0071472)	8	7	6.43	+	1.09	4.63E-01
response to organic cyclic compound (GO:0014070)	8	7	6.43	+	1.09	4.63E-01
pyridoxine metabolic process (GO:0008614)	8	7	6.43	+	1.09	4.63E-01
aromatic amino acid family biosynthetic process (GO:0009073)	16	14	12.87	+	1.09	4.12E-01
aspartate family amino acid catabolic process (GO:0009068)	8	7	6.43	+	1.09	4.63E-01
purine nucleoside biosynthetic process (GO:0042451)	8	7	6.43	+	1.09	4.63E-01
protein import into mitochondrial intermembrane space (GO:0045041)	8	7	6.43	+	1.09	4.63E-01
thiamine diphosphate metabolic process (GO:0042357)	8	7	6.43	+	1.09	4.63E-01
inorganic ion import across plasma membrane (GO:0099587)	8	7	6.43	+	1.09	4.63E-01
positive regulation of protein acetylation (GO:1901985)	8	7	6.43	+	1.09	4.63E-01
positive regulation of histone acetylation (GO:0035066)	8	7	6.43	+	1.09	4.63E-01
regulation of cell septum assembly (GO:1901891)	8	7	6.43	+	1.09	4.63E-01
S-adenosylmethionine metabolic process (GO:0046500)	8	7	6.43	+	1.09	4.63E-01
negative regulation of ribosomal DNA heterochromatin assembly (GO:0061188)	8	7	6.43	+	1.09	4.63E-01
monosaccharide biosynthetic process (GO:0046364)	16	14	12.87	+	1.09	4.12E-01
disaccharide biosynthetic process (GO:0046351)	8	7	6.43	+	1.09	4.63E-01
diol biosynthetic process (GO:0034312)	8	7	6.43	+	1.09	4.63E-01
diol metabolic process (GO:0034311)	8	7	6.43	+	1.09	4.63E-01
protein sumoylation (GO:0016925)	16	14	12.87	+	1.09	4.12E-01
protein insertion into membrane (GO:0051205)	32	28	25.73	+	1.09	3.53E-01
inorganic cation import across plasma membrane (GO:0098659)	8	7	6.43	+	1.09	4.63E-01
negative regulation of actin nucleation (GO:0051126)	8	7	6.43	+	1.09	4.63E-01
protein peptidyl-prolyl isomerization (GO:0000413)	16	14	12.87	+	1.09	4.12E-01
purine ribonucleoside biosynthetic process (GO:0046129)	8	7	6.43	+	1.09	4.63E-01
negative regulation of developmental process (GO:0051093)	8	7	6.43	+	1.09	4.63E-01
tricarboxylic acid metabolic process (GO:0072350)	8	7	6.43	+	1.09	4.63E-01
pentose catabolic process (GO:0019323)	8	7	6.43	+	1.09	4.63E-01
regulation of apoptotic process (GO:0042981)	8	7	6.43	+	1.09	4.63E-01
ATP generation from ADP (GO:0006757)	24	21	19.30	+	1.09	3.79E-01
metallo-sulfur cluster assembly (GO:0031163)	24	21	19.30	+	1.09	3.79E-01
iron-sulfur cluster assembly (GO:0016226)	24	21	19.30	+	1.09	3.79E-01
disaccharide metabolic process (GO:0005984)	24	21	19.30	+	1.09	3.79E-01
glycolytic process (GO:0006096)	24	21	19.30	+	1.09	3.79E-01
cellular carbohydrate catabolic process (GO:0044275)	24	21	19.30	+	1.09	3.79E-01
nucleobase-containing small molecule biosynthetic process (GO:0034404)	24	21	19.30	+	1.09	3.79E-01
dicarboxylic acid biosynthetic process (GO:0043650)	24	21	19.30	+	1.09	3.79E-01
dicarboxylic acid metabolic process (GO:0043648)	48	42	38.60	+	1.09	3.12E-01
establishment of protein localization to endoplasmic reticulum (GO:0072599)	40	35	32.17	+	1.09	3.31E-01
positive regulation of cellular amide metabolic process (GO:0034250)	40	35	32.17	+	1.09	3.31E-01
cellular response to oxidative stress (GO:0034599)	103	90	82.83	+	1.09	2.27E-01
glycoprotein biosynthetic process (GO:0009101)	79	69	63.53	+	1.09	2.61E-01
mannosylation (GO:0097502)	47	41	37.80	+	1.08	3.22E-01
protein targeting to ER (GO:0045047)	39	34	31.36	+	1.08	3.42E-01
regulation of intracellular transport (GO:0032386)	39	34	31.36	+	1.08	3.42E-01
alpha-amino acid catabolic process (GO:1901606)	39	34	31.36	+	1.08	3.42E-01
positive regulation of translation (GO:0045727)	39	34	31.36	+	1.08	3.42E-01
protein transmembrane transport (GO:0071806)	70	61	56.29	+	1.08	2.81E-01
cellular metabolic compound salvage (GO:0043094)	31	27	24.93	+	1.08	3.65E-01
nuclear DNA replication (GO:0033260)	31	27	24.93	+	1.08	3.65E-01
cell cycle DNA replication (GO:0044786)	31	27	24.93	+	1.08	3.65E-01
snRNA metabolic process (GO:0016073)	31	27	24.93	+	1.08	3.65E-01
cellular protein-containing complex assembly (GO:0034622)	425	370	341.77	+	1.08	5.91E-02
biosynthetic process (GO:0009058)	1400	1218	1125.84	+	1.08	5.86E-04
cellular biosynthetic process (GO:0044249)	1340	1165	1077.59	+	1.08	9.16E-04
intracellular protein transmembrane transport (GO:0065002)	61	53	49.05	+	1.08	3.04E-01
monovalent inorganic cation homeostasis (GO:0055067)	38	33	30.56	+	1.08	3.52E-01
protein glycosylation (GO:0006486)	76	66	61.12	+	1.08	2.81E-01
macromolecule glycosylation (GO:0043413)	76	66	61.12	+	1.08	2.81E-01
organic substance biosynthetic process (GO:1901576)	1379	1197	1108.95	+	1.08	9.23E-04
RNA metabolic process (GO:0016070)	824	715	662.64	+	1.08	1.38E-02
protein-containing complex assembly (GO:0065003)	436	378	350.62	+	1.08	6.70E-02
cellular modified amino acid metabolic process (GO:0006575)	60	52	48.25	+	1.08	3.12E-01
GPI anchor biosynthetic process (GO:0006506)	30	26	24.13	+	1.08	3.78E-01
regulation of translational elongation (GO:0006448)	15	13	12.06	+	1.08	4.31E-01
spindle localization (GO:0051653)	15	13	12.06	+	1.08	4.31E-01
peptidyl-lysine methylation (GO:0018022)	30	26	24.13	+	1.08	3.78E-01
protein stabilization (GO:0050821)	15	13	12.06	+	1.08	4.31E-01
establishment of spindle localization (GO:0051293)	15	13	12.06	+	1.08	4.31E-01
import into nucleus (GO:0051170)	67	58	53.88	+	1.08	3.04E-01
response to oxidative stress (GO:0006979)	119	103	95.70	+	1.08	2.38E-01
cellular component biogenesis (GO:0044085)	1017	880	817.84	+	1.08	7.73E-03
nucleoside triphosphate metabolic process (GO:0009141)	37	32	29.75	+	1.08	3.64E-01
cellular monovalent inorganic cation homeostasis (GO:0030004)	37	32	29.75	+	1.08	3.64E-01
nucleobase-containing small molecule metabolic process (GO:0055086)	207	179	166.46	+	1.08	1.70E-01
G2/M transition of mitotic cell cycle (GO:0000086)	22	19	17.69	+	1.07	4.09E-01
cell cycle G2/M phase transition (GO:0044839)	22	19	17.69	+	1.07	4.09E-01
protein insertion into mitochondrial membrane (GO:0051204)	22	19	17.69	+	1.07	4.09E-01
cellular nitrogen compound metabolic process (GO:0034641)	1642	1416	1320.45	+	1.07	6.04E-04
sno(s)RNA 3'-end processing (GO:0031126)	29	25	23.32	+	1.07	3.91E-01
pyruvate metabolic process (GO:0006090)	36	31	28.95	+	1.07	3.76E-01
cellular protein complex disassembly (GO:0043624)	36	31	28.95	+	1.07	3.76E-01
gene silencing (GO:0016458)	86	74	69.16	+	1.07	2.94E-01
glycoprotein metabolic process (GO:0009100)	86	74	69.16	+	1.07	2.94E-01
protein-containing complex subunit organization (GO:0043933)	537	462	431.84	+	1.07	6.56E-02
nucleoside phosphate metabolic process (GO:0006753)	179	154	143.95	+	1.07	2.07E-01
carbohydrate derivative metabolic process (GO:1901135)	322	277	258.94	+	1.07	1.30E-01
detoxification (GO:0098754)	50	43	40.21	+	1.07	3.50E-01
monocarboxylic acid metabolic process (GO:0032787)	149	128	119.82	+	1.07	2.36E-01
regulation of nitrogen utilization (GO:0006808)	14	12	11.26	+	1.07	4.52E-01
nucleoside phosphate catabolic process (GO:1901292)	14	12	11.26	+	1.07	4.52E-01
protoporphyrinogen IX biosynthetic process (GO:0006782)	7	6	5.63	+	1.07	4.93E-01
peroxisome fission (GO:0016559)	7	6	5.63	+	1.07	4.93E-01
riboflavin metabolic process (GO:0006771)	7	6	5.63	+	1.07	4.93E-01
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	14	12	11.26	+	1.07	4.52E-01
very long-chain fatty acid biosynthetic process (GO:0042761)	7	6	5.63	+	1.07	4.93E-01
negative regulation of mRNA metabolic process (GO:1903312)	7	6	5.63	+	1.07	4.93E-01
nucleoside salvage (GO:0043174)	7	6	5.63	+	1.07	4.93E-01
coenzyme A biosynthetic process (GO:0015937)	7	6	5.63	+	1.07	4.93E-01
glucan catabolic process (GO:0009251)	7	6	5.63	+	1.07	4.93E-01
riboflavin biosynthetic process (GO:0009231)	7	6	5.63	+	1.07	4.93E-01
pyrimidine ribonucleoside triphosphate biosynthetic process (GO:0009209)	7	6	5.63	+	1.07	4.93E-01
pyrimidine ribonucleoside triphosphate metabolic process (GO:0009208)	7	6	5.63	+	1.07	4.93E-01
negative regulation of programmed cell death (GO:0043069)	7	6	5.63	+	1.07	4.93E-01
copper ion transmembrane transport (GO:0035434)	7	6	5.63	+	1.07	4.93E-01
tyrosine transport (GO:0015828)	7	6	5.63	+	1.07	4.93E-01
arginine transport (GO:0015809)	7	6	5.63	+	1.07	4.93E-01
regulation of double-strand break repair (GO:2000779)	7	6	5.63	+	1.07	4.93E-01
tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431)	14	12	11.26	+	1.07	4.52E-01
tRNA export from nucleus (GO:0006409)	14	12	11.26	+	1.07	4.52E-01
sucrose metabolic process (GO:0005985)	7	6	5.63	+	1.07	4.93E-01
glutamine family amino acid metabolic process (GO:0009064)	56	48	45.03	+	1.07	3.48E-01
heteroduplex formation (GO:0030491)	7	6	5.63	+	1.07	4.93E-01
protein prenylation (GO:0018342)	7	6	5.63	+	1.07	4.93E-01
transcription initiation from RNA polymerase I promoter (GO:0006361)	7	6	5.63	+	1.07	4.93E-01
prenylation (GO:0097354)	7	6	5.63	+	1.07	4.93E-01
regulation of membrane lipid metabolic process (GO:1905038)	7	6	5.63	+	1.07	4.93E-01
