




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	neurospora_background.txt - REFLIST (9012)	upload_1 (2982)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	104	23	34.41	-	.67	2.53E-02
negative regulation of macromolecule biosynthetic process (GO:0010558)	104	23	34.41	-	.67	2.53E-02
positive regulation of transcription, DNA-templated (GO:0045893)	118	26	39.05	-	.67	1.71E-02
positive regulation of RNA biosynthetic process (GO:1902680)	118	26	39.05	-	.67	1.71E-02
positive regulation of nucleic acid-templated transcription (GO:1903508)	118	26	39.05	-	.67	1.71E-02
positive regulation of catabolic process (GO:0009896)	50	11	16.54	-	.66	1.02E-01
vesicle-mediated transport (GO:0016192)	246	54	81.40	-	.66	7.03E-04
positive regulation of cell cycle (GO:0045787)	23	5	7.61	-	.66	2.29E-01
regulation of actin filament polymerization (GO:0030833)	23	5	7.61	-	.66	2.29E-01
regulation of chromatin organization (GO:1902275)	14	3	4.63	-	.65	3.20E-01
pteridine-containing compound metabolic process (GO:0042558)	14	3	4.63	-	.65	3.20E-01
regulation of TOR signaling (GO:0032006)	14	3	4.63	-	.65	3.20E-01
supramolecular fiber organization (GO:0097435)	56	12	18.53	-	.65	7.32E-02
postreplication repair (GO:0006301)	14	3	4.63	-	.65	3.20E-01
pyrimidine nucleobase metabolic process (GO:0006206)	14	3	4.63	-	.65	3.20E-01
nucleoside phosphate catabolic process (GO:1901292)	14	3	4.63	-	.65	3.20E-01
chromosome separation (GO:0051304)	14	3	4.63	-	.65	3.20E-01
microtubule-based movement (GO:0007018)	28	6	9.26	-	.65	1.83E-01
RNA export from nucleus (GO:0006405)	42	9	13.90	-	.65	1.14E-01
lipid localization (GO:0010876)	42	9	13.90	-	.65	1.14E-01
histone modification (GO:0016570)	89	19	29.45	-	.65	2.68E-02
covalent chromatin modification (GO:0016569)	89	19	29.45	-	.65	2.68E-02
protein-DNA complex assembly (GO:0065004)	61	13	20.18	-	.64	6.07E-02
aspartate family amino acid biosynthetic process (GO:0009067)	33	7	10.92	-	.64	1.48E-01
reproductive process (GO:0022414)	85	18	28.13	-	.64	2.80E-02
chromatin organization (GO:0006325)	166	35	54.93	-	.64	2.53E-03
benzene-containing compound metabolic process (GO:0042537)	19	4	6.29	-	.64	2.48E-01
protein deacetylation (GO:0006476)	19	4	6.29	-	.64	2.48E-01
transcription by RNA polymerase II (GO:0006366)	57	12	18.86	-	.64	6.37E-02
base-excision repair (GO:0006284)	19	4	6.29	-	.64	2.48E-01
histone deacetylation (GO:0016575)	19	4	6.29	-	.64	2.48E-01
cell cycle (GO:0007049)	235	49	77.76	-	.63	2.74E-04
regulation of actin polymerization or depolymerization (GO:0008064)	24	5	7.94	-	.63	1.96E-01
regulation of cellular localization (GO:0060341)	24	5	7.94	-	.63	1.96E-01
peptidyl-proline modification (GO:0018208)	24	5	7.94	-	.63	1.96E-01
positive regulation of cellular catabolic process (GO:0031331)	48	10	15.88	-	.63	8.09E-02
regulation of actin filament length (GO:0030832)	24	5	7.94	-	.63	1.96E-01
regulation of organelle organization (GO:0033043)	101	21	33.42	-	.63	1.43E-02
peptidyl-amino acid modification (GO:0018193)	169	35	55.92	-	.63	1.70E-03
positive regulation of RNA metabolic process (GO:0051254)	145	30	47.98	-	.63	3.47E-03
regulation of cellular component size (GO:0032535)	29	6	9.60	-	.63	1.57E-01
regulation of anatomical structure size (GO:0090066)	29	6	9.60	-	.63	1.57E-01
positive regulation of transcription by RNA polymerase II (GO:0045944)	87	18	28.79	-	.63	2.12E-02
cellular response to DNA damage stimulus (GO:0006974)	208	43	68.83	-	.62	5.03E-04
regulation of cellular catabolic process (GO:0031329)	63	13	20.85	-	.62	4.58E-02
lipid modification (GO:0030258)	34	7	11.25	-	.62	1.27E-01
regulation of catabolic process (GO:0009894)	68	14	22.50	-	.62	3.81E-02
DNA-templated transcription, initiation (GO:0006352)	44	9	14.56	-	.62	8.49E-02
aerobic respiration (GO:0009060)	54	11	17.87	-	.62	5.77E-02
nuclear-transcribed mRNA catabolic process (GO:0000956)	64	13	21.18	-	.61	3.96E-02
DNA repair (GO:0006281)	189	38	62.54	-	.61	5.15E-04
establishment of spindle localization (GO:0051293)	10	2	3.31	-	.60	3.57E-01
glucose homeostasis (GO:0042593)	5	1	1.65	-	.60	5.07E-01
regulation of autophagosome assembly (GO:2000785)	5	1	1.65	-	.60	5.07E-01
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	20	4	6.62	-	.60	2.10E-01
regulation of cell wall organization or biogenesis (GO:1903338)	5	1	1.65	-	.60	5.07E-01
tRNA 5'-end processing (GO:0099116)	5	1	1.65	-	.60	5.07E-01
multi-organism reproductive process (GO:0044703)	25	5	8.27	-	.60	1.67E-01
nucleoside catabolic process (GO:0009164)	5	1	1.65	-	.60	5.07E-01
tRNA 5'-leader removal (GO:0001682)	5	1	1.65	-	.60	5.07E-01
cellular glucose homeostasis (GO:0001678)	5	1	1.65	-	.60	5.07E-01
histone H4 deacetylation (GO:0070933)	5	1	1.65	-	.60	5.07E-01
positive regulation of peptidase activity (GO:0010952)	5	1	1.65	-	.60	5.07E-01
regulation of macroautophagy (GO:0016241)	5	1	1.65	-	.60	5.07E-01
peptidyl-proline hydroxylation to 4-hydroxy-L-proline (GO:0018401)	5	1	1.65	-	.60	5.07E-01
response to endogenous stimulus (GO:0009719)	10	2	3.31	-	.60	3.57E-01
quinolinate metabolic process (GO:0046874)	5	1	1.65	-	.60	5.07E-01
fungal-type cell wall chitin biosynthetic process (GO:0034221)	5	1	1.65	-	.60	5.07E-01
phospholipid dephosphorylation (GO:0046839)	10	2	3.31	-	.60	3.57E-01
leucine biosynthetic process (GO:0009098)	5	1	1.65	-	.60	5.07E-01
glycogen metabolic process (GO:0005977)	5	1	1.65	-	.60	5.07E-01
mitotic intra-S DNA damage checkpoint signaling (GO:0031573)	5	1	1.65	-	.60	5.07E-01
aspartate family amino acid metabolic process (GO:0009066)	40	8	13.24	-	.60	8.90E-02
nuclear migration along microtubule (GO:0030473)	5	1	1.65	-	.60	5.07E-01
box C/D snoRNP assembly (GO:0000492)	5	1	1.65	-	.60	5.07E-01
negative regulation of cell division (GO:0051782)	5	1	1.65	-	.60	5.07E-01
regulation of cell growth (GO:0001558)	5	1	1.65	-	.60	5.07E-01
fungal-type cell wall (1->3)-beta-D-glucan biosynthetic process (GO:0071970)	5	1	1.65	-	.60	5.07E-01
fungal-type cell wall (1->3)-beta-D-glucan metabolic process (GO:0071969)	5	1	1.65	-	.60	5.07E-01
phenol-containing compound biosynthetic process (GO:0046189)	5	1	1.65	-	.60	5.07E-01
carbon catabolite activation of transcription from RNA polymerase II promoter (GO:0000436)	5	1	1.65	-	.60	5.07E-01
multi-organism process (GO:0051704)	25	5	8.27	-	.60	1.67E-01
regulation of cell cycle G2/M phase transition (GO:1902749)	20	4	6.62	-	.60	2.10E-01
triglyceride biosynthetic process (GO:0019432)	5	1	1.65	-	.60	5.07E-01
positive regulation of cellular protein localization (GO:1903829)	5	1	1.65	-	.60	5.07E-01
cellular response to amino acid starvation (GO:0034198)	5	1	1.65	-	.60	5.07E-01
protein mannosylation (GO:0035268)	5	1	1.65	-	.60	5.07E-01
regulation of binding (GO:0051098)	5	1	1.65	-	.60	5.07E-01
organelle transport along microtubule (GO:0072384)	10	2	3.31	-	.60	3.57E-01
regulation of secretion (GO:0051046)	5	1	1.65	-	.60	5.07E-01
barbed-end actin filament capping (GO:0051016)	5	1	1.65	-	.60	5.07E-01
tRNA aminoacylation for mitochondrial protein translation (GO:0070127)	5	1	1.65	-	.60	5.07E-01
movement of cell or subcellular component (GO:0006928)	30	6	9.93	-	.60	1.34E-01
establishment of mitochondrion localization (GO:0051654)	5	1	1.65	-	.60	5.07E-01
spindle localization (GO:0051653)	10	2	3.31	-	.60	3.57E-01
peptidyl-diphthamide biosynthetic process from peptidyl-histidine (GO:0017183)	5	1	1.65	-	.60	5.07E-01
peptidyl-diphthamide metabolic process (GO:0017182)	5	1	1.65	-	.60	5.07E-01
transsulfuration (GO:0019346)	10	2	3.31	-	.60	3.57E-01
interstrand cross-link repair (GO:0036297)	10	2	3.31	-	.60	3.57E-01
regulation of gene silencing (GO:0060968)	5	1	1.65	-	.60	5.07E-01
base-excision repair, AP site formation (GO:0006285)	5	1	1.65	-	.60	5.07E-01
DNA metabolic process (GO:0006259)	240	48	79.41	-	.60	8.32E-05
sexual reproduction (GO:0019953)	25	5	8.27	-	.60	1.67E-01
tetrahydrofolate biosynthetic process (GO:0046654)	5	1	1.65	-	.60	5.07E-01
second-messenger-mediated signaling (GO:0019932)	5	1	1.65	-	.60	5.07E-01
negative regulation of chromatin organization (GO:1905268)	5	1	1.65	-	.60	5.07E-01
Golgi to vacuole transport (GO:0006896)	10	2	3.31	-	.60	3.57E-01
cellular calcium ion homeostasis (GO:0006874)	25	5	8.27	-	.60	1.67E-01
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	10	2	3.31	-	.60	3.57E-01
nucleobase-containing small molecule catabolic process (GO:0034656)	5	1	1.65	-	.60	5.07E-01
negative regulation of cytokinesis (GO:0032466)	5	1	1.65	-	.60	5.07E-01
endocytic recycling (GO:0032456)	5	1	1.65	-	.60	5.07E-01
chloride transport (GO:0006821)	5	1	1.65	-	.60	5.07E-01
regulation of growth (GO:0040008)	5	1	1.65	-	.60	5.07E-01
peptidoglycan metabolic process (GO:0000270)	5	1	1.65	-	.60	5.07E-01
negative regulation of cellular catabolic process (GO:0031330)	5	1	1.65	-	.60	5.07E-01
carbohydrate homeostasis (GO:0033500)	5	1	1.65	-	.60	5.07E-01
proteasome regulatory particle assembly (GO:0070682)	5	1	1.65	-	.60	5.07E-01
nuclear membrane organization (GO:0071763)	5	1	1.65	-	.60	5.07E-01
ER-associated misfolded protein catabolic process (GO:0071712)	5	1	1.65	-	.60	5.07E-01
regulation of chromatin silencing (GO:0031935)	5	1	1.65	-	.60	5.07E-01
response to amino acid starvation (GO:1990928)	5	1	1.65	-	.60	5.07E-01
energy reserve metabolic process (GO:0006112)	5	1	1.65	-	.60	5.07E-01
regulation of protein-containing complex assembly (GO:0043254)	40	8	13.24	-	.60	8.90E-02
thiamine metabolic process (GO:0006772)	5	1	1.65	-	.60	5.07E-01
cell wall polysaccharide biosynthetic process (GO:0070592)	10	2	3.31	-	.60	3.57E-01
regulation of secretion by cell (GO:1903530)	5	1	1.65	-	.60	5.07E-01
thiamine-containing compound metabolic process (GO:0042723)	5	1	1.65	-	.60	5.07E-01
regulation of cytoplasmic translational elongation (GO:1900247)	5	1	1.65	-	.60	5.07E-01
regulation of division septum assembly (GO:0032955)	5	1	1.65	-	.60	5.07E-01
regulation of cytokinetic process (GO:0032954)	5	1	1.65	-	.60	5.07E-01
mitotic cytokinetic process (GO:1902410)	10	2	3.31	-	.60	3.57E-01
amine catabolic process (GO:0009310)	10	2	3.31	-	.60	3.57E-01
positive regulation of autophagy (GO:0010508)	5	1	1.65	-	.60	5.07E-01
cell wall chitin biosynthetic process (GO:0006038)	5	1	1.65	-	.60	5.07E-01
DNA double-strand break processing (GO:0000729)	5	1	1.65	-	.60	5.07E-01
acylglycerol biosynthetic process (GO:0046463)	5	1	1.65	-	.60	5.07E-01
neutral lipid biosynthetic process (GO:0046460)	5	1	1.65	-	.60	5.07E-01
carbon catabolite activation of transcription (GO:0045991)	5	1	1.65	-	.60	5.07E-01
protein retention in ER lumen (GO:0006621)	5	1	1.65	-	.60	5.07E-01
cell wall (1->3)-beta-D-glucan biosynthetic process (GO:0034411)	5	1	1.65	-	.60	5.07E-01
cell wall (1->3)-beta-D-glucan metabolic process (GO:0034407)	5	1	1.65	-	.60	5.07E-01
cytoplasmic microtubule organization (GO:0031122)	15	3	4.96	-	.60	2.70E-01
positive regulation of transcription by RNA polymerase I (GO:0045943)	5	1	1.65	-	.60	5.07E-01
cellular manganese ion homeostasis (GO:0030026)	5	1	1.65	-	.60	5.07E-01
fungal-type cell wall biogenesis (GO:0009272)	30	6	9.93	-	.60	1.34E-01
long-chain fatty acid transport (GO:0015909)	5	1	1.65	-	.60	5.07E-01
fatty acid transport (GO:0015908)	5	1	1.65	-	.60	5.07E-01
lipid homeostasis (GO:0055088)	10	2	3.31	-	.60	3.57E-01
potassium ion homeostasis (GO:0055075)	5	1	1.65	-	.60	5.07E-01
calcium ion homeostasis (GO:0055074)	25	5	8.27	-	.60	1.67E-01
manganese ion homeostasis (GO:0055071)	5	1	1.65	-	.60	5.07E-01
pre-mRNA cleavage required for polyadenylation (GO:0098789)	5	1	1.65	-	.60	5.07E-01
vesicle transport along microtubule (GO:0047496)	5	1	1.65	-	.60	5.07E-01
mRNA cleavage involved in mRNA processing (GO:0098787)	5	1	1.65	-	.60	5.07E-01
regulation of cell septum assembly (GO:1901891)	5	1	1.65	-	.60	5.07E-01
tubulin complex assembly (GO:0007021)	5	1	1.65	-	.60	5.07E-01
mitotic DNA replication (GO:1902969)	20	4	6.62	-	.60	2.10E-01
lipid droplet organization (GO:0034389)	5	1	1.65	-	.60	5.07E-01
mRNA catabolic process (GO:0006402)	66	13	21.84	-	.60	2.95E-02
regulation of cellular component organization (GO:0051128)	132	26	43.68	-	.60	2.58E-03
regulation of cellular component biogenesis (GO:0044087)	61	12	20.18	-	.59	3.54E-02
protein acylation (GO:0043543)	51	10	16.88	-	.59	5.16E-02
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	153	30	50.63	-	.59	1.13E-03
cell cycle process (GO:0022402)	201	39	66.51	-	.59	1.60E-04
serine family amino acid metabolic process (GO:0009069)	31	6	10.26	-	.58	1.14E-01
proteasomal protein catabolic process (GO:0010498)	114	22	37.72	-	.58	3.82E-03
protein-DNA complex subunit organization (GO:0071824)	78	15	25.81	-	.58	1.51E-02
DNA conformation change (GO:0071103)	73	14	24.16	-	.58	1.81E-02
mRNA transport (GO:0051028)	42	8	13.90	-	.58	6.48E-02
DNA recombination (GO:0006310)	79	15	26.14	-	.57	1.30E-02
autophagy (GO:0006914)	58	11	19.19	-	.57	3.13E-02
process utilizing autophagic mechanism (GO:0061919)	58	11	19.19	-	.57	3.13E-02
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	111	21	36.73	-	.57	3.36E-03
organelle fusion (GO:0048284)	38	7	12.57	-	.56	6.69E-02
nuclear division (GO:0000280)	71	13	23.49	-	.55	1.35E-02
cellular response to nutrient (GO:0031670)	11	2	3.64	-	.55	2.96E-01
ribonucleoside metabolic process (GO:0009119)	11	2	3.64	-	.55	2.96E-01
transport along microtubule (GO:0010970)	11	2	3.64	-	.55	2.96E-01
meiotic chromosome segregation (GO:0045132)	22	4	7.28	-	.55	1.49E-01
translational initiation (GO:0006413)	55	10	18.20	-	.55	2.72E-02
glycosyl compound biosynthetic process (GO:1901659)	11	2	3.64	-	.55	2.96E-01
developmental process involved in reproduction (GO:0003006)	11	2	3.64	-	.55	2.96E-01
endoplasmic reticulum unfolded protein response (GO:0030968)	11	2	3.64	-	.55	2.96E-01
regulation of cellular carbohydrate metabolic process (GO:0010675)	11	2	3.64	-	.55	2.96E-01
regulation of actin filament depolymerization (GO:0030834)	11	2	3.64	-	.55	2.96E-01
regulation of carbohydrate metabolic process (GO:0006109)	11	2	3.64	-	.55	2.96E-01
peroxisome fission (GO:0016559)	11	2	3.64	-	.55	2.96E-01
positive regulation of transcription elongation from RNA polymerase II promoter (GO:0032968)	11	2	3.64	-	.55	2.96E-01
nucleobase-containing small molecule biosynthetic process (GO:0034404)	22	4	7.28	-	.55	1.49E-01
cell cycle checkpoint signaling (GO:0000075)	44	8	14.56	-	.55	4.66E-02
regulation of protein depolymerization (GO:1901879)	11	2	3.64	-	.55	2.96E-01
inner mitochondrial membrane organization (GO:0007007)	11	2	3.64	-	.55	2.96E-01
vacuole organization (GO:0007033)	39	7	12.90	-	.54	5.64E-02
mitotic cell cycle process (GO:1903047)	134	24	44.34	-	.54	5.75E-04
mitotic cell cycle (GO:0000278)	151	27	49.96	-	.54	2.55E-04
DNA integrity checkpoint signaling (GO:0031570)	28	5	9.26	-	.54	1.00E-01
organelle fission (GO:0048285)	84	15	27.79	-	.54	5.83E-03
negative regulation of cell cycle phase transition (GO:1901988)	45	8	14.89	-	.54	3.93E-02
Golgi vesicle transport (GO:0048193)	107	19	35.41	-	.54	1.82E-03
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	17	3	5.63	-	.53	1.88E-01
regulation of mRNA catabolic process (GO:0061013)	34	6	11.25	-	.53	6.85E-02
meiotic cell cycle process (GO:1903046)	51	9	16.88	-	.53	2.75E-02
negative regulation of cell communication (GO:0010648)	17	3	5.63	-	.53	1.88E-01
negative regulation of signaling (GO:0023057)	17	3	5.63	-	.53	1.88E-01
cytoskeleton-dependent intracellular transport (GO:0030705)	17	3	5.63	-	.53	1.88E-01
negative regulation of signal transduction (GO:0009968)	17	3	5.63	-	.53	1.88E-01
phospholipid transport (GO:0015914)	17	3	5.63	-	.53	1.88E-01
negative regulation of response to stimulus (GO:0048585)	17	3	5.63	-	.53	1.88E-01
meiotic cell cycle (GO:0051321)	63	11	20.85	-	.53	1.37E-02
cytoplasmic translational initiation (GO:0002183)	23	4	7.61	-	.53	1.24E-01
DNA replication initiation (GO:0006270)	23	4	7.61	-	.53	1.24E-01
recombinational repair (GO:0000725)	46	8	15.22	-	.53	3.30E-02
positive regulation of hydrolase activity (GO:0051345)	23	4	7.61	-	.53	1.24E-01
negative regulation of cellular amide metabolic process (GO:0034249)	29	5	9.60	-	.52	8.37E-02
negative regulation of cellular component organization (GO:0051129)	29	5	9.60	-	.52	8.37E-02
peptidyl-lysine modification (GO:0018205)	77	13	25.48	-	.51	4.91E-03
regulation of cell cycle (GO:0051726)	113	19	37.39	-	.51	6.62E-04
maintenance of protein localization in organelle (GO:0072595)	6	1	1.99	-	.50	4.10E-01
nucleoside monophosphate phosphorylation (GO:0046940)	6	1	1.99	-	.50	4.10E-01
regulation of response to external stimulus (GO:0032101)	6	1	1.99	-	.50	4.10E-01
pyrimidine-containing compound catabolic process (GO:0072529)	6	1	1.99	-	.50	4.10E-01
RNA polyadenylation (GO:0043631)	12	2	3.97	-	.50	2.42E-01
regulation of mRNA metabolic process (GO:1903311)	42	7	13.90	-	.50	3.32E-02
erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process (GO:1902221)	6	1	1.99	-	.50	4.10E-01
nucleotide catabolic process (GO:0009166)	12	2	3.97	-	.50	2.42E-01
inorganic cation import across plasma membrane (GO:0098659)	6	1	1.99	-	.50	4.10E-01
homologous chromosome segregation (GO:0045143)	6	1	1.99	-	.50	4.10E-01
peptidyl-proline hydroxylation (GO:0019511)	6	1	1.99	-	.50	4.10E-01
response to nutrient (GO:0007584)	12	2	3.97	-	.50	2.42E-01
L-methionine salvage from methylthioadenosine (GO:0019509)	6	1	1.99	-	.50	4.10E-01
negative regulation of phosphatase activity (GO:0010923)	6	1	1.99	-	.50	4.10E-01
regulation of lipid biosynthetic process (GO:0046890)	6	1	1.99	-	.50	4.10E-01
negative regulation of dephosphorylation (GO:0035305)	6	1	1.99	-	.50	4.10E-01
maintenance of DNA repeat elements (GO:0043570)	6	1	1.99	-	.50	4.10E-01
valine biosynthetic process (GO:0009099)	6	1	1.99	-	.50	4.10E-01
serine family amino acid biosynthetic process (GO:0009070)	18	3	5.96	-	.50	1.55E-01
small nucleolar ribonucleoprotein complex assembly (GO:0000491)	6	1	1.99	-	.50	4.10E-01
homocysteine metabolic process (GO:0050667)	12	2	3.97	-	.50	2.42E-01
glycosyl compound catabolic process (GO:1901658)	6	1	1.99	-	.50	4.10E-01
nucleobase catabolic process (GO:0046113)	6	1	1.99	-	.50	4.10E-01
mRNA polyadenylation (GO:0006378)	12	2	3.97	-	.50	2.42E-01
transcription initiation from RNA polymerase I promoter (GO:0006361)	6	1	1.99	-	.50	4.10E-01
regulation of transcription by RNA polymerase I (GO:0006356)	6	1	1.99	-	.50	4.10E-01
regulation of mitotic sister chromatid segregation (GO:0033047)	12	2	3.97	-	.50	2.42E-01
regulation of RNA splicing (GO:0043484)	6	1	1.99	-	.50	4.10E-01
regulation of DNA metabolic process (GO:0051052)	18	3	5.96	-	.50	1.55E-01
L-methionine salvage (GO:0071267)	6	1	1.99	-	.50	4.10E-01
actin filament capping (GO:0051693)	6	1	1.99	-	.50	4.10E-01
inorganic ion import across plasma membrane (GO:0099587)	6	1	1.99	-	.50	4.10E-01
establishment or maintenance of actin cytoskeleton polarity (GO:0030950)	6	1	1.99	-	.50	4.10E-01
folic acid metabolic process (GO:0046655)	6	1	1.99	-	.50	4.10E-01
deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0000290)	6	1	1.99	-	.50	4.10E-01
chromosome condensation (GO:0030261)	6	1	1.99	-	.50	4.10E-01
mitotic cytokinesis (GO:0000281)	12	2	3.97	-	.50	2.42E-01
regulation of nitrogen utilization (GO:0006808)	6	1	1.99	-	.50	4.10E-01
exonucleolytic catabolism of deadenylated mRNA (GO:0043928)	6	1	1.99	-	.50	4.10E-01
protein hydroxylation (GO:0018126)	6	1	1.99	-	.50	4.10E-01
chorismate biosynthetic process (GO:0009423)	6	1	1.99	-	.50	4.10E-01
negative regulation of actin filament depolymerization (GO:0030835)	6	1	1.99	-	.50	4.10E-01
polyphosphate metabolic process (GO:0006797)	6	1	1.99	-	.50	4.10E-01
polyadenylation-dependent snoRNA 3'-end processing (GO:0071051)	6	1	1.99	-	.50	4.10E-01
negative regulation of protein-containing complex disassembly (GO:0043242)	6	1	1.99	-	.50	4.10E-01
S-adenosylmethionine metabolic process (GO:0046500)	6	1	1.99	-	.50	4.10E-01
NADH metabolic process (GO:0006734)	6	1	1.99	-	.50	4.10E-01
peptidyl-lysine monomethylation (GO:0018026)	6	1	1.99	-	.50	4.10E-01
(1->3)-beta-D-glucan biosynthetic process (GO:0006075)	6	1	1.99	-	.50	4.10E-01
(1->3)-beta-D-glucan metabolic process (GO:0006074)	6	1	1.99	-	.50	4.10E-01
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	12	2	3.97	-	.50	2.42E-01
phosphatidylcholine biosynthetic process (GO:0006656)	6	1	1.99	-	.50	4.10E-01
amino acid salvage (GO:0043102)	6	1	1.99	-	.50	4.10E-01
ribosomal large subunit export from nucleus (GO:0000055)	6	1	1.99	-	.50	4.10E-01
actin polymerization or depolymerization (GO:0008154)	6	1	1.99	-	.50	4.10E-01
negative regulation of protein depolymerization (GO:1901880)	6	1	1.99	-	.50	4.10E-01
protein stabilization (GO:0050821)	6	1	1.99	-	.50	4.10E-01
negative regulation of catabolic process (GO:0009895)	6	1	1.99	-	.50	4.10E-01
L-phenylalanine metabolic process (GO:0006558)	6	1	1.99	-	.50	4.10E-01
maintenance of protein localization in endoplasmic reticulum (GO:0035437)	6	1	1.99	-	.50	4.10E-01
negative regulation of cell cycle process (GO:0010948)	49	8	16.21	-	.49	1.93E-02
negative regulation of cell cycle (GO:0045786)	49	8	16.21	-	.49	1.93E-02
chromosome organization (GO:0051276)	270	44	89.34	-	.49	5.63E-08
DNA replication (GO:0006260)	86	14	28.46	-	.49	2.06E-03
double-strand break repair via homologous recombination (GO:0000724)	43	7	14.23	-	.49	2.76E-02
regulation of cell cycle phase transition (GO:1901987)	68	11	22.50	-	.49	5.69E-03
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	31	5	10.26	-	.49	5.76E-02
mRNA export from nucleus (GO:0006406)	31	5	10.26	-	.49	5.76E-02
cell cycle DNA replication (GO:0044786)	25	4	8.27	-	.48	8.48E-02
positive regulation of mRNA catabolic process (GO:0061014)	25	4	8.27	-	.48	8.48E-02
regulation of GTPase activity (GO:0043087)	25	4	8.27	-	.48	8.48E-02
nuclear DNA replication (GO:0033260)	25	4	8.27	-	.48	8.48E-02
DNA-dependent DNA replication maintenance of fidelity (GO:0045005)	19	3	6.29	-	.48	1.27E-01
vesicle docking (GO:0048278)	19	3	6.29	-	.48	1.27E-01
DNA-dependent DNA replication (GO:0006261)	70	11	23.16	-	.47	3.94E-03
inositol phosphate metabolic process (GO:0043647)	13	2	4.30	-	.46	1.97E-01
positive regulation of mRNA metabolic process (GO:1903313)	26	4	8.60	-	.46	6.96E-02
regulation of transcription elongation from RNA polymerase II promoter (GO:0034243)	13	2	4.30	-	.46	1.97E-01
carbohydrate phosphorylation (GO:0046835)	13	2	4.30	-	.46	1.97E-01
transcription initiation from RNA polymerase II promoter (GO:0006367)	26	4	8.60	-	.46	6.96E-02
rRNA catabolic process (GO:0016075)	13	2	4.30	-	.46	1.97E-01
ncRNA catabolic process (GO:0034661)	13	2	4.30	-	.46	1.97E-01
negative regulation of intracellular signal transduction (GO:1902532)	13	2	4.30	-	.46	1.97E-01
protein deubiquitination (GO:0016579)	26	4	8.60	-	.46	6.96E-02
folic acid-containing compound metabolic process (GO:0006760)	13	2	4.30	-	.46	1.97E-01
centromere complex assembly (GO:0034508)	13	2	4.30	-	.46	1.97E-01
cellular monovalent inorganic cation homeostasis (GO:0030004)	13	2	4.30	-	.46	1.97E-01
regulation of mRNA stability (GO:0043488)	33	5	10.92	-	.46	3.91E-02
regulation of RNA stability (GO:0043487)	33	5	10.92	-	.46	3.91E-02
peroxisome organization (GO:0007031)	33	5	10.92	-	.46	3.91E-02
fatty acid catabolic process (GO:0009062)	20	3	6.62	-	.45	1.04E-01
pH reduction (GO:0045851)	7	1	2.32	-	.43	3.27E-01
cell cycle DNA replication initiation (GO:1902292)	7	1	2.32	-	.43	3.27E-01
regulation of protein stability (GO:0031647)	7	1	2.32	-	.43	3.27E-01
exocytic process (GO:0140029)	7	1	2.32	-	.43	3.27E-01
maintenance of protein location (GO:0045185)	14	2	4.63	-	.43	1.59E-01
regulation of small molecule metabolic process (GO:0062012)	14	2	4.63	-	.43	1.59E-01
purine nucleoside biosynthetic process (GO:0042451)	7	1	2.32	-	.43	3.27E-01
glucosamine-containing compound biosynthetic process (GO:1901073)	7	1	2.32	-	.43	3.27E-01
serine family amino acid catabolic process (GO:0009071)	7	1	2.32	-	.43	3.27E-01
exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000467)	7	1	2.32	-	.43	3.27E-01
fungal-type cell wall polysaccharide metabolic process (GO:0071966)	14	2	4.63	-	.43	1.59E-01
hydrogen sulfide metabolic process (GO:0070813)	7	1	2.32	-	.43	3.27E-01
purine ribonucleoside biosynthetic process (GO:0046129)	7	1	2.32	-	.43	3.27E-01
purine ribonucleoside metabolic process (GO:0046128)	7	1	2.32	-	.43	3.27E-01
L-methionine biosynthetic process (GO:0071265)	7	1	2.32	-	.43	3.27E-01
nucleotide-excision repair, DNA incision (GO:0033683)	7	1	2.32	-	.43	3.27E-01
vesicle docking involved in exocytosis (GO:0006904)	7	1	2.32	-	.43	3.27E-01
maintenance of protein location in cell (GO:0032507)	14	2	4.63	-	.43	1.59E-01
cytokinetic process (GO:0032506)	14	2	4.63	-	.43	1.59E-01
reproduction of a single-celled organism (GO:0032505)	14	2	4.63	-	.43	1.59E-01
tRNA catabolic process (GO:0016078)	7	1	2.32	-	.43	3.27E-01
vesicle cytoskeletal trafficking (GO:0099518)	7	1	2.32	-	.43	3.27E-01
