




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	human_background.txt - REFLIST (16250)	upload_1 (1959)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
regulation of cell-matrix adhesion (GO:0001952)	118	10	14.23	-	.70	1.60E-01
biological process involved in interaction with host (GO:0051701)	177	15	21.34	-	.70	9.71E-02
regulation of nitric oxide metabolic process (GO:0080164)	59	5	7.11	-	.70	2.86E-01
regulation of reactive oxygen species metabolic process (GO:2000377)	142	12	17.12	-	.70	1.28E-01
morphogenesis of embryonic epithelium (GO:0016331)	142	12	17.12	-	.70	1.28E-01
positive regulation of angiogenesis (GO:0045766)	154	13	18.57	-	.70	1.15E-01
positive regulation of vasculature development (GO:1904018)	154	13	18.57	-	.70	1.15E-01
vesicle fusion (GO:0006906)	83	7	10.01	-	.70	2.19E-01
cellular response to calcium ion (GO:0071277)	83	7	10.01	-	.70	2.19E-01
regulation of NIK/NF-kappaB signaling (GO:1901222)	95	8	11.45	-	.70	1.93E-01
regulation of pattern recognition receptor signaling pathway (GO:0062207)	95	8	11.45	-	.70	1.93E-01
regulation of glucose metabolic process (GO:0010906)	107	9	12.90	-	.70	1.72E-01
reproductive structure development (GO:0048608)	393	33	47.38	-	.70	1.67E-02
response to interferon-gamma (GO:0034341)	167	14	20.13	-	.70	9.87E-02
germ cell development (GO:0007281)	227	19	27.37	-	.69	5.90E-02
response to lead ion (GO:0010288)	24	2	2.89	-	.69	4.47E-01
negative regulation of acute inflammatory response (GO:0002674)	12	1	1.45	-	.69	5.76E-01
regulation of T cell tolerance induction (GO:0002664)	12	1	1.45	-	.69	5.76E-01
glial cell fate commitment (GO:0021781)	12	1	1.45	-	.69	5.76E-01
phospholipid efflux (GO:0033700)	12	1	1.45	-	.69	5.76E-01
glomerular filtration (GO:0003094)	12	1	1.45	-	.69	5.76E-01
renal system process involved in regulation of systemic arterial blood pressure (GO:0003071)	24	2	2.89	-	.69	4.47E-01
negative regulation of glial cell differentiation (GO:0045686)	24	2	2.89	-	.69	4.47E-01
negative regulation of epidermis development (GO:0045683)	12	1	1.45	-	.69	5.76E-01
cerebellar Purkinje cell layer formation (GO:0021694)	12	1	1.45	-	.69	5.76E-01
negative regulation of epidermal cell differentiation (GO:0045605)	12	1	1.45	-	.69	5.76E-01
pentose metabolic process (GO:0019321)	12	1	1.45	-	.69	5.76E-01
heart trabecula formation (GO:0060347)	12	1	1.45	-	.69	5.76E-01
regulation of bicellular tight junction assembly (GO:2000810)	24	2	2.89	-	.69	4.47E-01
adrenergic receptor signaling pathway (GO:0071875)	24	2	2.89	-	.69	4.47E-01
mammary gland epithelial cell proliferation (GO:0033598)	12	1	1.45	-	.69	5.76E-01
spinal cord association neuron differentiation (GO:0021527)	12	1	1.45	-	.69	5.76E-01
lymph vessel development (GO:0001945)	24	2	2.89	-	.69	4.47E-01
regulation of neutrophil activation (GO:1902563)	12	1	1.45	-	.69	5.76E-01
lymphoid progenitor cell differentiation (GO:0002320)	12	1	1.45	-	.69	5.76E-01
female meiotic nuclear division (GO:0007143)	24	2	2.89	-	.69	4.47E-01
regulation of receptor catabolic process (GO:2000644)	12	1	1.45	-	.69	5.76E-01
prepulse inhibition (GO:0060134)	12	1	1.45	-	.69	5.76E-01
ectodermal placode morphogenesis (GO:0071697)	12	1	1.45	-	.69	5.76E-01
positive regulation of double-strand break repair via nonhomologous end joining (GO:2001034)	12	1	1.45	-	.69	5.76E-01
endodermal cell fate commitment (GO:0001711)	12	1	1.45	-	.69	5.76E-01
mesodermal cell fate commitment (GO:0001710)	12	1	1.45	-	.69	5.76E-01
pharyngeal system development (GO:0060037)	24	2	2.89	-	.69	4.47E-01
melanin metabolic process (GO:0006582)	12	1	1.45	-	.69	5.76E-01
regulation of apoptotic process involved in morphogenesis (GO:1902337)	12	1	1.45	-	.69	5.76E-01
basic amino acid transmembrane transport (GO:1990822)	12	1	1.45	-	.69	5.76E-01
regulation of transcription of nucleolar large rRNA by RNA polymerase I (GO:1901836)	12	1	1.45	-	.69	5.76E-01
positive regulation of tumor necrosis factor production (GO:0032760)	96	8	11.57	-	.69	1.84E-01
collagen-activated tyrosine kinase receptor signaling pathway (GO:0038063)	12	1	1.45	-	.69	5.76E-01
regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902253)	24	2	2.89	-	.69	4.47E-01
negative regulation of receptor internalization (GO:0002091)	12	1	1.45	-	.69	5.76E-01
C-terminal protein amino acid modification (GO:0018410)	12	1	1.45	-	.69	5.76E-01
regulation of respiratory gaseous exchange by nervous system process (GO:0002087)	12	1	1.45	-	.69	5.76E-01
calcineurin-NFAT signaling cascade (GO:0033173)	12	1	1.45	-	.69	5.76E-01
protein neddylation (GO:0045116)	12	1	1.45	-	.69	5.76E-01
demethylation (GO:0070988)	60	5	7.23	-	.69	2.71E-01
UV-damage excision repair (GO:0070914)	12	1	1.45	-	.69	5.76E-01
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902166)	12	1	1.45	-	.69	5.76E-01
mRNA splice site selection (GO:0006376)	24	2	2.89	-	.69	4.47E-01
cellular response to interleukin-2 (GO:0071352)	12	1	1.45	-	.69	5.76E-01
DNA catabolic process (GO:0006308)	24	2	2.89	-	.69	4.47E-01
T cell differentiation in thymus (GO:0033077)	48	4	5.79	-	.69	3.14E-01
protein mono-ADP-ribosylation (GO:0140289)	12	1	1.45	-	.69	5.76E-01
regulation of myoblast proliferation (GO:2000291)	12	1	1.45	-	.69	5.76E-01
protein-chromophore linkage (GO:0018298)	12	1	1.45	-	.69	5.76E-01
regulation of cilium assembly (GO:1902017)	48	4	5.79	-	.69	3.14E-01
response to peptidoglycan (GO:0032494)	12	1	1.45	-	.69	5.76E-01
synaptic membrane adhesion (GO:0099560)	24	2	2.89	-	.69	4.47E-01
adhesion of symbiont to host (GO:0044406)	12	1	1.45	-	.69	5.76E-01
positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440)	12	1	1.45	-	.69	5.76E-01
negative regulation of protein autophosphorylation (GO:0031953)	12	1	1.45	-	.69	5.76E-01
response to interleukin-2 (GO:0070669)	12	1	1.45	-	.69	5.76E-01
lactate metabolic process (GO:0006089)	12	1	1.45	-	.69	5.76E-01
ethanol oxidation (GO:0006069)	12	1	1.45	-	.69	5.76E-01
regulation of prostaglandin secretion (GO:0032306)	12	1	1.45	-	.69	5.76E-01
peptidyl-lysine trimethylation (GO:0018023)	24	2	2.89	-	.69	4.47E-01
postsynaptic actin cytoskeleton organization (GO:0098974)	12	1	1.45	-	.69	5.76E-01
maintenance of protein location in nucleus (GO:0051457)	24	2	2.89	-	.69	4.47E-01
negative regulation of potassium ion transmembrane transport (GO:1901380)	24	2	2.89	-	.69	4.47E-01
regulation of ventricular cardiac muscle cell action potential (GO:0098911)	12	1	1.45	-	.69	5.76E-01
intestinal lipid absorption (GO:0098856)	12	1	1.45	-	.69	5.76E-01
negative regulation of oxidoreductase activity (GO:0051354)	24	2	2.89	-	.69	4.47E-01
protein transport along microtubule (GO:0098840)	12	1	1.45	-	.69	5.76E-01
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	12	1	1.45	-	.69	5.76E-01
regulation of pinocytosis (GO:0048548)	12	1	1.45	-	.69	5.76E-01
positive regulation of coagulation (GO:0050820)	24	2	2.89	-	.69	4.47E-01
regulation of response to nutrient levels (GO:0032107)	24	2	2.89	-	.69	4.47E-01
regulation of response to extracellular stimulus (GO:0032104)	24	2	2.89	-	.69	4.47E-01
establishment of spindle localization (GO:0051293)	48	4	5.79	-	.69	3.14E-01
engulfment of apoptotic cell (GO:0043652)	12	1	1.45	-	.69	5.76E-01
negative regulation of lipopolysaccharide-mediated signaling pathway (GO:0031665)	12	1	1.45	-	.69	5.76E-01
regulation of lipopolysaccharide-mediated signaling pathway (GO:0031664)	24	2	2.89	-	.69	4.47E-01
PERK-mediated unfolded protein response (GO:0036499)	12	1	1.45	-	.69	5.76E-01
microtubule-based protein transport (GO:0099118)	12	1	1.45	-	.69	5.76E-01
spindle checkpoint signaling (GO:0031577)	24	2	2.89	-	.69	4.47E-01
UV protection (GO:0009650)	12	1	1.45	-	.69	5.76E-01
skeletal muscle adaptation (GO:0043501)	12	1	1.45	-	.69	5.76E-01
midbrain dopaminergic neuron differentiation (GO:1904948)	12	1	1.45	-	.69	5.76E-01
protein auto-ADP-ribosylation (GO:0070213)	12	1	1.45	-	.69	5.76E-01
photoreceptor cell outer segment organization (GO:0035845)	12	1	1.45	-	.69	5.76E-01
behavioral response to pain (GO:0048266)	12	1	1.45	-	.69	5.76E-01
response to UV-A (GO:0070141)	12	1	1.45	-	.69	5.76E-01
regulation of mitochondrial translation (GO:0070129)	24	2	2.89	-	.69	4.47E-01
spliceosomal complex assembly (GO:0000245)	48	4	5.79	-	.69	3.14E-01
intraciliary retrograde transport (GO:0035721)	12	1	1.45	-	.69	5.76E-01
regulation of apoptotic process involved in development (GO:1904748)	12	1	1.45	-	.69	5.76E-01
chromatin-mediated maintenance of transcription (GO:0048096)	12	1	1.45	-	.69	5.76E-01
negative regulation of ubiquitin protein ligase activity (GO:1904667)	12	1	1.45	-	.69	5.76E-01
negative regulation of long-term synaptic potentiation (GO:1900272)	12	1	1.45	-	.69	5.76E-01
regulation of mRNA splicing, via spliceosome (GO:0048024)	84	7	10.13	-	.69	2.08E-01
hepatocyte growth factor receptor signaling pathway (GO:0048012)	12	1	1.45	-	.69	5.76E-01
somatic hypermutation of immunoglobulin genes (GO:0016446)	12	1	1.45	-	.69	5.76E-01
ribosomal large subunit assembly (GO:0000027)	24	2	2.89	-	.69	4.47E-01
cytoplasmic microtubule organization (GO:0031122)	60	5	7.23	-	.69	2.71E-01
nucleoside triphosphate catabolic process (GO:0009143)	12	1	1.45	-	.69	5.76E-01
benzene-containing compound metabolic process (GO:0042537)	24	2	2.89	-	.69	4.47E-01
regulation of cellular response to hypoxia (GO:1900037)	12	1	1.45	-	.69	5.76E-01
polyol transport (GO:0015791)	12	1	1.45	-	.69	5.76E-01
C4-dicarboxylate transport (GO:0015740)	24	2	2.89	-	.69	4.47E-01
cell-cell signaling involved in cardiac conduction (GO:0086019)	24	2	2.89	-	.69	4.47E-01
cellular response to angiotensin (GO:1904385)	24	2	2.89	-	.69	4.47E-01
regulation of dendrite extension (GO:1903859)	24	2	2.89	-	.69	4.47E-01
negative regulation of neuroinflammatory response (GO:0150079)	12	1	1.45	-	.69	5.76E-01
regulation of deacetylase activity (GO:0150065)	12	1	1.45	-	.69	5.76E-01
fat-soluble vitamin catabolic process (GO:0042363)	12	1	1.45	-	.69	5.76E-01
regulation of bile acid metabolic process (GO:1904251)	12	1	1.45	-	.69	5.76E-01
regulation of cGMP-mediated signaling (GO:0010752)	12	1	1.45	-	.69	5.76E-01
rhodopsin mediated signaling pathway (GO:0016056)	12	1	1.45	-	.69	5.76E-01
interleukin-17-mediated signaling pathway (GO:0097400)	12	1	1.45	-	.69	5.76E-01
response to antibiotic (GO:0046677)	48	4	5.79	-	.69	3.14E-01
cellular response to interleukin-17 (GO:0097398)	12	1	1.45	-	.69	5.76E-01
response to interleukin-17 (GO:0097396)	12	1	1.45	-	.69	5.76E-01
dermatan sulfate biosynthetic process (GO:0030208)	12	1	1.45	-	.69	5.76E-01
heparin metabolic process (GO:0030202)	12	1	1.45	-	.69	5.76E-01
positive regulation of cardiac muscle hypertrophy (GO:0010613)	24	2	2.89	-	.69	4.47E-01
one-carbon compound transport (GO:0019755)	12	1	1.45	-	.69	5.76E-01
ectodermal placode formation (GO:0060788)	12	1	1.45	-	.69	5.76E-01
regulation of cilium beat frequency (GO:0003356)	12	1	1.45	-	.69	5.76E-01
keratinocyte development (GO:0003334)	12	1	1.45	-	.69	5.76E-01
glycerophospholipid catabolic process (GO:0046475)	24	2	2.89	-	.69	4.47E-01
actin filament depolymerization (GO:0030042)	12	1	1.45	-	.69	5.76E-01
negative regulation of complement activation (GO:0045916)	12	1	1.45	-	.69	5.76E-01
rostrocaudal neural tube patterning (GO:0021903)	12	1	1.45	-	.69	5.76E-01
branching involved in labyrinthine layer morphogenesis (GO:0060670)	12	1	1.45	-	.69	5.76E-01
positive regulation of amyloid precursor protein catabolic process (GO:1902993)	24	2	2.89	-	.69	4.47E-01
very-low-density lipoprotein particle assembly (GO:0034379)	12	1	1.45	-	.69	5.76E-01
regulation of alcohol biosynthetic process (GO:1902930)	48	4	5.79	-	.69	3.14E-01
positive regulation of muscle hypertrophy (GO:0014742)	24	2	2.89	-	.69	4.47E-01
cell proliferation in forebrain (GO:0021846)	24	2	2.89	-	.69	4.47E-01
layer formation in cerebral cortex (GO:0021819)	12	1	1.45	-	.69	5.76E-01
adult heart development (GO:0007512)	12	1	1.45	-	.69	5.76E-01
prostate gland morphogenesis (GO:0060512)	24	2	2.89	-	.69	4.47E-01
sensory perception of pain (GO:0019233)	72	6	8.68	-	.69	2.37E-01
receptor signaling pathway via JAK-STAT (GO:0007259)	36	3	4.34	-	.69	3.70E-01
positive regulation of CD4-positive, alpha-beta T cell activation (GO:2000516)	36	3	4.34	-	.69	3.70E-01
regulation of interleukin-17 production (GO:0032660)	36	3	4.34	-	.69	3.70E-01
cellular response to estradiol stimulus (GO:0071392)	36	3	4.34	-	.69	3.70E-01
brain morphogenesis (GO:0048854)	36	3	4.34	-	.69	3.70E-01
regulation of muscle organ development (GO:0048634)	36	3	4.34	-	.69	3.70E-01
positive regulation of nervous system process (GO:0031646)	36	3	4.34	-	.69	3.70E-01
regulation of endocrine process (GO:0044060)	36	3	4.34	-	.69	3.70E-01
cortical actin cytoskeleton organization (GO:0030866)	36	3	4.34	-	.69	3.70E-01
DNA damage checkpoint signaling (GO:0000077)	132	11	15.91	-	.69	1.30E-01
positive regulation of glucose metabolic process (GO:0010907)	36	3	4.34	-	.69	3.70E-01
tube formation (GO:0035148)	144	12	17.36	-	.69	1.17E-01
antigen processing and presentation of peptide antigen (GO:0048002)	181	15	21.82	-	.69	8.11E-02
neuron migration (GO:0001764)	109	9	13.14	-	.68	1.56E-01
membrane docking (GO:0022406)	170	14	20.49	-	.68	8.60E-02
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	170	14	20.49	-	.68	8.60E-02
regulation of protein targeting (GO:1903533)	73	6	8.80	-	.68	2.25E-01
regulation of transcription regulatory region DNA binding (GO:2000677)	49	4	5.91	-	.68	2.97E-01
cellular response to interferon-gamma (GO:0071346)	147	12	17.72	-	.68	1.01E-01
regulation of chondrocyte differentiation (GO:0032330)	49	4	5.91	-	.68	2.97E-01
cochlea development (GO:0090102)	49	4	5.91	-	.68	2.97E-01
vesicle targeting (GO:0006903)	86	7	10.37	-	.68	1.88E-01
organelle membrane fusion (GO:0090174)	86	7	10.37	-	.68	1.88E-01
regulation of actin filament-based movement (GO:1903115)	37	3	4.46	-	.67	3.49E-01
positive regulation of organic acid transport (GO:0032892)	37	3	4.46	-	.67	3.49E-01
mitotic DNA damage checkpoint signaling (GO:0044773)	111	9	13.38	-	.67	1.41E-01
animal organ formation (GO:0048645)	37	3	4.46	-	.67	3.49E-01
protein kinase B signaling (GO:0043491)	37	3	4.46	-	.67	3.49E-01
regulation of purine nucleotide biosynthetic process (GO:1900371)	37	3	4.46	-	.67	3.49E-01
phospholipid catabolic process (GO:0009395)	37	3	4.46	-	.67	3.49E-01
receptor signaling pathway via STAT (GO:0097696)	37	3	4.46	-	.67	3.49E-01
plasma lipoprotein particle clearance (GO:0034381)	37	3	4.46	-	.67	3.49E-01
regulation of protein binding (GO:0043393)	185	15	22.30	-	.67	6.74E-02
cardiac septum development (GO:0003279)	99	8	11.93	-	.67	1.59E-01
organelle localization by membrane tethering (GO:0140056)	161	13	19.41	-	.67	8.28E-02
positive regulation of interleukin-8 production (GO:0032757)	62	5	7.47	-	.67	2.44E-01
artery morphogenesis (GO:0048844)	62	5	7.47	-	.67	2.44E-01
heart valve development (GO:0003170)	62	5	7.47	-	.67	2.44E-01
regulation of carbohydrate catabolic process (GO:0043470)	87	7	10.49	-	.67	1.79E-01
artery development (GO:0060840)	87	7	10.49	-	.67	1.79E-01
positive regulation of Notch signaling pathway (GO:0045747)	50	4	6.03	-	.66	2.81E-01
cellular component disassembly involved in execution phase of apoptosis (GO:0006921)	25	2	3.01	-	.66	4.20E-01
steroid catabolic process (GO:0006706)	25	2	3.01	-	.66	4.20E-01
mitotic spindle organization (GO:0007052)	150	12	18.08	-	.66	8.76E-02
zinc ion transmembrane transport (GO:0071577)	25	2	3.01	-	.66	4.20E-01
acetylcholine receptor signaling pathway (GO:0095500)	25	2	3.01	-	.66	4.20E-01
pyrimidine nucleotide biosynthetic process (GO:0006221)	25	2	3.01	-	.66	4.20E-01
positive regulation of protein autophosphorylation (GO:0031954)	25	2	3.01	-	.66	4.20E-01
mesodermal cell differentiation (GO:0048333)	25	2	3.01	-	.66	4.20E-01
DNA dealkylation (GO:0035510)	25	2	3.01	-	.66	4.20E-01
regulation of cellular response to heat (GO:1900034)	75	6	9.04	-	.66	2.02E-01
production of miRNAs involved in gene silencing by miRNA (GO:0035196)	25	2	3.01	-	.66	4.20E-01
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	100	8	12.06	-	.66	1.51E-01
cell fate commitment involved in formation of primary germ layer (GO:0060795)	25	2	3.01	-	.66	4.20E-01
positive regulation of natural killer cell mediated cytotoxicity (GO:0045954)	25	2	3.01	-	.66	4.20E-01
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	25	2	3.01	-	.66	4.20E-01
regulation of transcription elongation from RNA polymerase II promoter (GO:0034243)	25	2	3.01	-	.66	4.20E-01
antigen processing and presentation (GO:0019882)	213	17	25.68	-	.66	4.56E-02
response to ethanol (GO:0045471)	138	11	16.64	-	.66	9.75E-02
action potential (GO:0001508)	88	7	10.61	-	.66	1.70E-01
negative regulation of canonical Wnt signaling pathway (GO:0090090)	176	14	21.22	-	.66	6.46E-02
antigen processing and presentation of exogenous antigen (GO:0019884)	176	14	21.22	-	.66	6.46E-02
ribosomal small subunit biogenesis (GO:0042274)	63	5	7.59	-	.66	2.31E-01
regulation of microtubule cytoskeleton organization (GO:0070507)	139	11	16.76	-	.66	9.27E-02
DNA integrity checkpoint signaling (GO:0031570)	139	11	16.76	-	.66	9.27E-02
activation of adenylate cyclase activity (GO:0007190)	38	3	4.58	-	.65	3.29E-01
mitotic DNA integrity checkpoint signaling (GO:0044774)	114	9	13.74	-	.65	1.21E-01
negative regulation of organelle assembly (GO:1902116)	38	3	4.58	-	.65	3.29E-01
peptide cross-linking (GO:0018149)	38	3	4.58	-	.65	3.29E-01
prostate gland development (GO:0030850)	38	3	4.58	-	.65	3.29E-01
regulation of nucleotide biosynthetic process (GO:0030808)	38	3	4.58	-	.65	3.29E-01
cellular response to amyloid-beta (GO:1904646)	38	3	4.58	-	.65	3.29E-01
regulation of necrotic cell death (GO:0010939)	38	3	4.58	-	.65	3.29E-01
cardiac muscle cell contraction (GO:0086003)	38	3	4.58	-	.65	3.29E-01
lipoprotein metabolic process (GO:0042157)	114	9	13.74	-	.65	1.21E-01
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	38	3	4.58	-	.65	3.29E-01
regulation of binding (GO:0051098)	342	27	41.23	-	.65	1.16E-02
tube closure (GO:0060606)	89	7	10.73	-	.65	1.61E-01
response to ionizing radiation (GO:0010212)	140	11	16.88	-	.65	8.82E-02
protein methylation (GO:0006479)	102	8	12.30	-	.65	1.36E-01
regulation of complement activation (GO:0030449)	51	4	6.15	-	.65	2.65E-01
cardiocyte differentiation (GO:0035051)	102	8	12.30	-	.65	1.36E-01
negative regulation of endothelial cell migration (GO:0010596)	51	4	6.15	-	.65	2.65E-01
protein alkylation (GO:0008213)	102	8	12.30	-	.65	1.36E-01
regulation of oxidative stress-induced cell death (GO:1903201)	64	5	7.72	-	.65	2.18E-01
secondary alcohol metabolic process (GO:1902652)	128	10	15.43	-	.65	9.81E-02
regulation of endothelial cell proliferation (GO:0001936)	128	10	15.43	-	.65	9.81E-02
regulation of RNA splicing (GO:0043484)	128	10	15.43	-	.65	9.81E-02
regulation of B cell proliferation (GO:0030888)	64	5	7.72	-	.65	2.18E-01
regulation of histone modification (GO:0031056)	141	11	17.00	-	.65	8.38E-02
regulation of generation of precursor metabolites and energy (GO:0043467)	154	12	18.57	-	.65	7.18E-02
negative regulation of secretion (GO:0051048)	154	12	18.57	-	.65	7.18E-02
response to heat (GO:0009408)	90	7	10.85	-	.65	1.52E-01
negative regulation of Wnt signaling pathway (GO:0030178)	206	16	24.83	-	.64	3.95E-02
epithelial tube formation (GO:0072175)	129	10	15.55	-	.64	9.31E-02
adult behavior (GO:0030534)	129	10	15.55	-	.64	9.31E-02
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	168	13	20.25	-	.64	5.86E-02
ER-nucleus signaling pathway (GO:0006984)	39	3	4.70	-	.64	3.09E-01
regulation of T cell mediated cytotoxicity (GO:0001914)	39	3	4.70	-	.64	3.09E-01
somatic diversification of immune receptors (GO:0002200)	39	3	4.70	-	.64	3.09E-01
regulation of organic acid transport (GO:0032890)	65	5	7.84	-	.64	2.06E-01
negative regulation of intracellular steroid hormone receptor signaling pathway (GO:0033144)	39	3	4.70	-	.64	3.09E-01
regulation of chemokine production (GO:0032642)	91	7	10.97	-	.64	1.44E-01
regulation of oligodendrocyte differentiation (GO:0048713)	39	3	4.70	-	.64	3.09E-01
neuron projection organization (GO:0106027)	39	3	4.70	-	.64	3.09E-01
positive regulation of TOR signaling (GO:0032008)	39	3	4.70	-	.64	3.09E-01
nucleoside monophosphate biosynthetic process (GO:0009124)	39	3	4.70	-	.64	3.09E-01
phosphatidylcholine metabolic process (GO:0046470)	78	6	9.40	-	.64	1.72E-01
receptor localization to synapse (GO:0097120)	39	3	4.70	-	.64	3.09E-01
regulation of reactive oxygen species biosynthetic process (GO:1903426)	39	3	4.70	-	.64	3.09E-01
negative regulation of gluconeogenesis (GO:0045721)	13	1	1.57	-	.64	5.36E-01
toll-like receptor 9 signaling pathway (GO:0034162)	13	1	1.57	-	.64	5.36E-01
somatic diversification of immune receptors via somatic mutation (GO:0002566)	13	1	1.57	-	.64	5.36E-01
positive regulation of type I interferon-mediated signaling pathway (GO:0060340)	13	1	1.57	-	.64	5.36E-01
negative regulation of mitotic sister chromatid separation (GO:2000816)	26	2	3.13	-	.64	3.94E-01
cardiac epithelial to mesenchymal transition (GO:0060317)	26	2	3.13	-	.64	3.94E-01
cellular response to epinephrine stimulus (GO:0071872)	13	1	1.57	-	.64	5.36E-01
myelination in peripheral nervous system (GO:0022011)	26	2	3.13	-	.64	3.94E-01
regulation of podosome assembly (GO:0071801)	13	1	1.57	-	.64	5.36E-01
optic nerve development (GO:0021554)	13	1	1.57	-	.64	5.36E-01
regulation of RNA polymerase II regulatory region sequence-specific DNA binding (GO:1903025)	13	1	1.57	-	.64	5.36E-01
retinal rod cell differentiation (GO:0060221)	13	1	1.57	-	.64	5.36E-01
negative regulation of epidermal growth factor-activated receptor activity (GO:0007175)	13	1	1.57	-	.64	5.36E-01
regulation of nephron tubule epithelial cell differentiation (GO:0072182)	13	1	1.57	-	.64	5.36E-01
inositol phosphate biosynthetic process (GO:0032958)	13	1	1.57	-	.64	5.36E-01
regulation of growth hormone secretion (GO:0060123)	13	1	1.57	-	.64	5.36E-01
ectodermal placode development (GO:0071696)	13	1	1.57	-	.64	5.36E-01
synapse maturation (GO:0060074)	13	1	1.57	-	.64	5.36E-01
convergent extension (GO:0060026)	13	1	1.57	-	.64	5.36E-01
tryptophan metabolic process (GO:0006568)	13	1	1.57	-	.64	5.36E-01
negative regulation of amino acid transport (GO:0051956)	13	1	1.57	-	.64	5.36E-01
mitochondrial tRNA processing (GO:0090646)	13	1	1.57	-	.64	5.36E-01
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902230)	26	2	3.13	-	.64	3.94E-01
positive regulation of receptor internalization (GO:0002092)	26	2	3.13	-	.64	3.94E-01
apical protein localization (GO:0045176)	13	1	1.57	-	.64	5.36E-01
cellular response to purine-containing compound (GO:0071415)	13	1	1.57	-	.64	5.36E-01
branching involved in blood vessel morphogenesis (GO:0001569)	26	2	3.13	-	.64	3.94E-01
negative regulation of interferon-beta production (GO:0032688)	13	1	1.57	-	.64	5.36E-01
tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	13	1	1.57	-	.64	5.36E-01
cellular response to interleukin-15 (GO:0071350)	13	1	1.57	-	.64	5.36E-01
negative regulation of mitotic sister chromatid segregation (GO:0033048)	26	2	3.13	-	.64	3.94E-01
negative regulation of sister chromatid segregation (GO:0033046)	26	2	3.13	-	.64	3.94E-01
positive regulation of protein exit from endoplasmic reticulum (GO:0070863)	13	1	1.57	-	.64	5.36E-01
positive regulation of mast cell activation involved in immune response (GO:0033008)	13	1	1.57	-	.64	5.36E-01
secondary metabolite biosynthetic process (GO:0044550)	13	1	1.57	-	.64	5.36E-01
cellular response to lithium ion (GO:0071285)	13	1	1.57	-	.64	5.36E-01
cellular component maintenance (GO:0043954)	52	4	6.27	-	.64	2.50E-01
embryonic brain development (GO:1990403)	13	1	1.57	-	.64	5.36E-01
neuron projection arborization (GO:0140058)	13	1	1.57	-	.64	5.36E-01
negative regulation of double-strand break repair via homologous recombination (GO:2000042)	13	1	1.57	-	.64	5.36E-01
telomere maintenance via recombination (GO:0000722)	13	1	1.57	-	.64	5.36E-01
neurotransmitter receptor transport to postsynaptic membrane (GO:0098969)	13	1	1.57	-	.64	5.36E-01
fructose metabolic process (GO:0006000)	13	1	1.57	-	.64	5.36E-01
Golgi ribbon formation (GO:0090161)	13	1	1.57	-	.64	5.36E-01
endoplasmic reticulum membrane organization (GO:0090158)	13	1	1.57	-	.64	5.36E-01
regulation of synapse maturation (GO:0090128)	13	1	1.57	-	.64	5.36E-01
peripheral nervous system axon ensheathment (GO:0032292)	26	2	3.13	-	.64	3.94E-01
embryonic camera-type eye morphogenesis (GO:0048596)	26	2	3.13	-	.64	3.94E-01
regulation of B cell receptor signaling pathway (GO:0050855)	26	2	3.13	-	.64	3.94E-01
protein heterotetramerization (GO:0051290)	13	1	1.57	-	.64	5.36E-01
regulation of heat generation (GO:0031650)	13	1	1.57	-	.64	5.36E-01
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	13	1	1.57	-	.64	5.36E-01
endonucleolytic cleavage involved in rRNA processing (GO:0000478)	13	1	1.57	-	.64	5.36E-01
aggrephagy (GO:0035973)	26	2	3.13	-	.64	3.94E-01
aorta development (GO:0035904)	52	4	6.27	-	.64	2.50E-01
negative regulation of JUN kinase activity (GO:0043508)	13	1	1.57	-	.64	5.36E-01
regulation of thymocyte apoptotic process (GO:0070243)	13	1	1.57	-	.64	5.36E-01
positive regulation of T cell apoptotic process (GO:0070234)	13	1	1.57	-	.64	5.36E-01
regulation of isotype switching to IgG isotypes (GO:0048302)	13	1	1.57	-	.64	5.36E-01
atrioventricular canal development (GO:0036302)	13	1	1.57	-	.64	5.36E-01
regulation of protein localization to chromosome, telomeric region (GO:1904814)	13	1	1.57	-	.64	5.36E-01
negative regulation of DNA binding (GO:0043392)	52	4	6.27	-	.64	2.50E-01
regulation of aspartic-type peptidase activity (GO:1905245)	13	1	1.57	-	.64	5.36E-01
interleukin-15-mediated signaling pathway (GO:0035723)	13	1	1.57	-	.64	5.36E-01
