




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Synechocystis)
Reference List:	cyano_background_go.txt (Synechocystis)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	cyano_background_go.txt - REFLIST (568)	upload_1 (144)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
tRNA modification (GO:0006400)	8	1	2.03	-	.49	3.96E-01
macromolecule catabolic process (GO:0009057)	8	1	2.03	-	.49	3.96E-01
cellular modified amino acid biosynthetic process (GO:0042398)	8	1	2.03	-	.49	3.96E-01
fatty acid biosynthetic process (GO:0006633)	8	1	2.03	-	.49	3.96E-01
RNA modification (GO:0009451)	9	1	2.28	-	.44	3.33E-01
branched-chain amino acid biosynthetic process (GO:0009082)	10	1	2.54	-	.39	2.77E-01
branched-chain amino acid metabolic process (GO:0009081)	10	1	2.54	-	.39	2.77E-01
aspartate family amino acid biosynthetic process (GO:0009067)	10	1	2.54	-	.39	2.77E-01
dicarboxylic acid metabolic process (GO:0043648)	20	2	5.07	-	.39	1.14E-01
cellular protein-containing complex assembly (GO:0034622)	10	1	2.54	-	.39	2.77E-01
protein-containing complex assembly (GO:0065003)	10	1	2.54	-	.39	2.77E-01
tRNA processing (GO:0008033)	11	1	2.79	-	.36	2.30E-01
monocarboxylic acid biosynthetic process (GO:0072330)	11	1	2.79	-	.36	2.30E-01
protein-containing complex subunit organization (GO:0043933)	13	1	3.30	-	.30	1.56E-01
ncRNA processing (GO:0034470)	14	1	3.55	-	.28	1.28E-01
cellular component assembly (GO:0022607)	15	1	3.80	-	.26	1.04E-01
pyrimidine ribonucleoside diphosphate biosynthetic process (GO:0009194)	1	0	.25	-	 < 0.01	7.76E-01
pyrimidine ribonucleoside diphosphate metabolic process (GO:0009193)	1	0	.25	-	 < 0.01	7.76E-01
regulation of nitrogen utilization (GO:0006808)	1	0	.25	-	 < 0.01	7.76E-01
superoxide metabolic process (GO:0006801)	1	0	.25	-	 < 0.01	7.76E-01
ribonucleoside diphosphate biosynthetic process (GO:0009188)	1	0	.25	-	 < 0.01	7.76E-01
peptidyl-pyrromethane cofactor linkage (GO:0018160)	1	0	.25	-	 < 0.01	7.76E-01
regulation of phosphorus metabolic process (GO:0051174)	3	0	.76	-	 < 0.01	4.66E-01
positive regulation of nitrogen compound metabolic process (GO:0051173)	1	0	.25	-	 < 0.01	7.76E-01
polysaccharide catabolic process (GO:0000272)	2	0	.51	-	 < 0.01	6.02E-01
aminoacyl-tRNA metabolism involved in translational fidelity (GO:0106074)	5	0	1.27	-	 < 0.01	2.80E-01
negative regulation of ion transport (GO:0043271)	1	0	.25	-	 < 0.01	7.76E-01
pyrimidine ribonucleoside monophosphate catabolic process (GO:0009175)	1	0	.25	-	 < 0.01	7.76E-01
ketone biosynthetic process (GO:0042181)	5	0	1.27	-	 < 0.01	2.80E-01
endonucleolytic cleavage involved in tRNA processing (GO:1905267)	1	0	.25	-	 < 0.01	7.76E-01
regulation of ion transport (GO:0043269)	1	0	.25	-	 < 0.01	7.76E-01
glucose 6-phosphate metabolic process (GO:0051156)	5	0	1.27	-	 < 0.01	2.80E-01
nucleotide catabolic process (GO:0009166)	2	0	.51	-	 < 0.01	6.02E-01
cellular oxidant detoxification (GO:0098869)	3	0	.76	-	 < 0.01	4.66E-01
regulation of phosphate metabolic process (GO:0019220)	3	0	.76	-	 < 0.01	4.66E-01
ribonucleoside monophosphate catabolic process (GO:0009158)	1	0	.25	-	 < 0.01	7.76E-01
sulfolipid biosynthetic process (GO:0046506)	1	0	.25	-	 < 0.01	7.76E-01
sulfolipid metabolic process (GO:0046505)	1	0	.25	-	 < 0.01	7.76E-01
tRNA 5'-leader removal (GO:0001682)	1	0	.25	-	 < 0.01	7.76E-01
glycerol catabolic process (GO:0019563)	1	0	.25	-	 < 0.01	7.76E-01
long-chain fatty acid metabolic process (GO:0001676)	1	0	.25	-	 < 0.01	7.76E-01
isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway involved in terpenoid biosynthetic process (GO:0051484)	1	0	.25	-	 < 0.01	7.76E-01
terpenoid biosynthetic process, mevalonate-independent (GO:0051483)	1	0	.25	-	 < 0.01	7.76E-01
pyrimidine nucleoside monophosphate catabolic process (GO:0009131)	1	0	.25	-	 < 0.01	7.76E-01
cellular response to chemical stimulus (GO:0070887)	4	0	1.01	-	 < 0.01	3.61E-01
peptidyl-histidine phosphorylation (GO:0018106)	1	0	.25	-	 < 0.01	7.76E-01
nucleoside monophosphate catabolic process (GO:0009125)	1	0	.25	-	 < 0.01	7.76E-01
propionate catabolic process (GO:0019543)	1	0	.25	-	 < 0.01	7.76E-01
propionate metabolic process (GO:0019541)	1	0	.25	-	 < 0.01	7.76E-01
protein-phycocyanobilin linkage (GO:0017009)	1	0	.25	-	 < 0.01	7.76E-01
cellular response to oxidative stress (GO:0034599)	1	0	.25	-	 < 0.01	7.76E-01
DNA ligation involved in DNA repair (GO:0051103)	1	0	.25	-	 < 0.01	7.76E-01
protein-bilin linkage (GO:0017007)	1	0	.25	-	 < 0.01	7.76E-01
protein-tetrapyrrole linkage (GO:0017006)	2	0	.51	-	 < 0.01	6.02E-01
conversion of methionyl-tRNA to N-formyl-methionyl-tRNA (GO:0071951)	1	0	.25	-	 < 0.01	7.76E-01
vitamin catabolic process (GO:0009111)	1	0	.25	-	 < 0.01	7.76E-01
protein-heme linkage (GO:0017003)	1	0	.25	-	 < 0.01	7.76E-01
response to external biotic stimulus (GO:0043207)	1	0	.25	-	 < 0.01	7.76E-01
tRNA thio-modification (GO:0034227)	1	0	.25	-	 < 0.01	7.76E-01
lipopolysaccharide biosynthetic process (GO:0009103)	1	0	.25	-	 < 0.01	7.76E-01
biotin biosynthetic process (GO:0009102)	2	0	.51	-	 < 0.01	6.02E-01
glycoprotein biosynthetic process (GO:0009101)	1	0	.25	-	 < 0.01	7.76E-01
glycoprotein metabolic process (GO:0009100)	1	0	.25	-	 < 0.01	7.76E-01
D-gluconate metabolic process (GO:0019521)	1	0	.25	-	 < 0.01	7.76E-01
aldonic acid metabolic process (GO:0019520)	1	0	.25	-	 < 0.01	7.76E-01
selenocysteine biosynthetic process (GO:0016260)	1	0	.25	-	 < 0.01	7.76E-01
carbohydrate transmembrane transport (GO:0034219)	1	0	.25	-	 < 0.01	7.76E-01
quinolinate catabolic process (GO:0034213)	1	0	.25	-	 < 0.01	7.76E-01
selenocysteine metabolic process (GO:0016259)	1	0	.25	-	 < 0.01	7.76E-01
diaminopimelate biosynthetic process (GO:0019877)	3	0	.76	-	 < 0.01	4.66E-01
regulation of kinase activity (GO:0043549)	1	0	.25	-	 < 0.01	7.76E-01
positive regulation of macromolecule metabolic process (GO:0010604)	1	0	.25	-	 < 0.01	7.76E-01
regulation of phosphate transport (GO:0010966)	1	0	.25	-	 < 0.01	7.76E-01
protein acylation (GO:0043543)	1	0	.25	-	 < 0.01	7.76E-01
organelle disassembly (GO:1903008)	2	0	.51	-	 < 0.01	6.02E-01
cyanate metabolic process (GO:0009439)	1	0	.25	-	 < 0.01	7.76E-01
GMP biosynthetic process (GO:0006177)	1	0	.25	-	 < 0.01	7.76E-01
negative regulation of cell division (GO:0051782)	1	0	.25	-	 < 0.01	7.76E-01
1-deoxy-D-xylulose 5-phosphate biosynthetic process (GO:0052865)	1	0	.25	-	 < 0.01	7.76E-01
7,8-dihydroneopterin 3'-triphosphate biosynthetic process (GO:0035998)	1	0	.25	-	 < 0.01	7.76E-01
1-deoxy-D-xylulose 5-phosphate metabolic process (GO:0052863)	1	0	.25	-	 < 0.01	7.76E-01
iron-sulfur cluster assembly (GO:0016226)	2	0	.51	-	 < 0.01	6.02E-01
response to light stimulus (GO:0009416)	1	0	.25	-	 < 0.01	7.76E-01
photosynthetic electron transport in photosystem I (GO:0009773)	1	0	.25	-	 < 0.01	7.76E-01
photosynthetic electron transport in photosystem II (GO:0009772)	2	0	.51	-	 < 0.01	6.02E-01
tRNA 3'-end processing (GO:0042780)	1	0	.25	-	 < 0.01	7.76E-01
osmosensory signaling via phosphorelay pathway (GO:0007234)	1	0	.25	-	 < 0.01	7.76E-01
osmosensory signaling pathway (GO:0007231)	1	0	.25	-	 < 0.01	7.76E-01
response to heat (GO:0009408)	1	0	.25	-	 < 0.01	7.76E-01
photosynthetic electron transport chain (GO:0009767)	7	0	1.77	-	 < 0.01	1.68E-01
photosynthesis, light harvesting (GO:0009765)	1	0	.25	-	 < 0.01	7.76E-01
tRNA 3'-trailer cleavage (GO:0042779)	1	0	.25	-	 < 0.01	7.76E-01
positive regulation of protein phosphorylation (GO:0001934)	1	0	.25	-	 < 0.01	7.76E-01
regulation of protein phosphorylation (GO:0001932)	1	0	.25	-	 < 0.01	7.76E-01
protein catabolic process (GO:0030163)	2	0	.51	-	 < 0.01	6.02E-01
hydrocarbon catabolic process (GO:0120253)	1	0	.25	-	 < 0.01	7.76E-01
hydrocarbon metabolic process (GO:0120252)	2	0	.51	-	 < 0.01	6.02E-01
hydrocarbon biosynthetic process (GO:0120251)	1	0	.25	-	 < 0.01	7.76E-01
erythrose 4-phosphate/phosphoenolpyruvate family amino acid biosynthetic process (GO:1902223)	1	0	.25	-	 < 0.01	7.76E-01
erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222)	1	0	.25	-	 < 0.01	7.76E-01
erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process (GO:1902221)	2	0	.51	-	 < 0.01	6.02E-01
protein N-linked glycosylation (GO:0006487)	1	0	.25	-	 < 0.01	7.76E-01
protein glycosylation (GO:0006486)	1	0	.25	-	 < 0.01	7.76E-01
carbohydrate derivative catabolic process (GO:1901136)	5	0	1.27	-	 < 0.01	2.80E-01
regulation of circadian rhythm (GO:0042752)	1	0	.25	-	 < 0.01	7.76E-01
lipopolysaccharide metabolic process (GO:0008653)	1	0	.25	-	 < 0.01	7.76E-01
cell differentiation (GO:0030154)	2	0	.51	-	 < 0.01	6.02E-01
molybdopterin cofactor biosynthetic process (GO:0032324)	1	0	.25	-	 < 0.01	7.76E-01
heme O biosynthetic process (GO:0048034)	1	0	.25	-	 < 0.01	7.76E-01
heme o metabolic process (GO:0048033)	1	0	.25	-	 < 0.01	7.76E-01
regulation of cell cycle (GO:0051726)	2	0	.51	-	 < 0.01	6.02E-01
N-terminal protein amino acid acetylation (GO:0006474)	1	0	.25	-	 < 0.01	7.76E-01
protein acetylation (GO:0006473)	1	0	.25	-	 < 0.01	7.76E-01
oxaloacetate metabolic process (GO:0006107)	1	0	.25	-	 < 0.01	7.76E-01
signal peptide processing (GO:0006465)	1	0	.25	-	 < 0.01	7.76E-01
fatty acid elongation (GO:0030497)	1	0	.25	-	 < 0.01	7.76E-01
maturation of SSU-rRNA (GO:0030490)	1	0	.25	-	 < 0.01	7.76E-01
response to other organism (GO:0051707)	1	0	.25	-	 < 0.01	7.76E-01
multi-organism process (GO:0051704)	1	0	.25	-	 < 0.01	7.76E-01
regulation of translational fidelity (GO:0006450)	6	0	1.52	-	 < 0.01	2.17E-01
thiamine-containing compound biosynthetic process (GO:0042724)	3	0	.76	-	 < 0.01	4.66E-01
thiamine-containing compound metabolic process (GO:0042723)	3	0	.76	-	 < 0.01	4.66E-01
tRNA methylation (GO:0030488)	1	0	.25	-	 < 0.01	7.76E-01
regulation of secondary metabolite biosynthetic process (GO:1900376)	1	0	.25	-	 < 0.01	7.76E-01
queuosine biosynthetic process (GO:0008616)	2	0	.51	-	 < 0.01	6.02E-01
tRNA wobble guanine modification (GO:0002099)	2	0	.51	-	 < 0.01	6.02E-01
tRNA wobble uridine modification (GO:0002098)	1	0	.25	-	 < 0.01	7.76E-01
tRNA wobble base modification (GO:0002097)	3	0	.76	-	 < 0.01	4.66E-01
valyl-tRNA aminoacylation (GO:0006438)	1	0	.25	-	 < 0.01	7.76E-01
polyphosphate biosynthetic process (GO:0006799)	1	0	.25	-	 < 0.01	7.76E-01
threonyl-tRNA aminoacylation (GO:0006435)	1	0	.25	-	 < 0.01	7.76E-01
polyphosphate metabolic process (GO:0006797)	1	0	.25	-	 < 0.01	7.76E-01
seryl-tRNA aminoacylation (GO:0006434)	1	0	.25	-	 < 0.01	7.76E-01
prolyl-tRNA aminoacylation (GO:0006433)	1	0	.25	-	 < 0.01	7.76E-01
methionyl-tRNA aminoacylation (GO:0006431)	1	0	.25	-	 < 0.01	7.76E-01
lysyl-tRNA aminoacylation (GO:0006430)	1	0	.25	-	 < 0.01	7.76E-01
D-gluconate catabolic process (GO:0046177)	1	0	.25	-	 < 0.01	7.76E-01
aldonic acid catabolic process (GO:0046176)	1	0	.25	-	 < 0.01	7.76E-01
polyol catabolic process (GO:0046174)	1	0	.25	-	 < 0.01	7.76E-01
polyol biosynthetic process (GO:0046173)	1	0	.25	-	 < 0.01	7.76E-01
leucyl-tRNA aminoacylation (GO:0006429)	1	0	.25	-	 < 0.01	7.76E-01
isoleucyl-tRNA aminoacylation (GO:0006428)	1	0	.25	-	 < 0.01	7.76E-01
histidyl-tRNA aminoacylation (GO:0006427)	1	0	.25	-	 < 0.01	7.76E-01
glutamyl-tRNA aminoacylation (GO:0006424)	1	0	.25	-	 < 0.01	7.76E-01
cysteinyl-tRNA aminoacylation (GO:0006423)	1	0	.25	-	 < 0.01	7.76E-01
aspartyl-tRNA aminoacylation (GO:0006422)	1	0	.25	-	 < 0.01	7.76E-01
glycerol-3-phosphate catabolic process (GO:0046168)	1	0	.25	-	 < 0.01	7.76E-01
glycerol-3-phosphate biosynthetic process (GO:0046167)	1	0	.25	-	 < 0.01	7.76E-01
glyceraldehyde-3-phosphate biosynthetic process (GO:0046166)	1	0	.25	-	 < 0.01	7.76E-01
alcohol biosynthetic process (GO:0046165)	2	0	.51	-	 < 0.01	6.02E-01
negative regulation of anion transmembrane transport (GO:1903960)	1	0	.25	-	 < 0.01	7.76E-01
alcohol catabolic process (GO:0046164)	1	0	.25	-	 < 0.01	7.76E-01
protein-containing complex disassembly (GO:0032984)	3	0	.76	-	 < 0.01	4.66E-01
alanyl-tRNA aminoacylation (GO:0006419)	1	0	.25	-	 < 0.01	7.76E-01
translational termination (GO:0006415)	3	0	.76	-	 < 0.01	4.66E-01
translational initiation (GO:0006413)	4	0	1.01	-	 < 0.01	3.61E-01
fat-soluble vitamin metabolic process (GO:0006775)	2	0	.51	-	 < 0.01	6.02E-01
selenocysteinyl-tRNA(Sec) biosynthetic process (GO:0097056)	1	0	.25	-	 < 0.01	7.76E-01
thiamine metabolic process (GO:0006772)	3	0	.76	-	 < 0.01	4.66E-01
regulation of anion transmembrane transport (GO:1903959)	1	0	.25	-	 < 0.01	7.76E-01
siroheme metabolic process (GO:0046156)	2	0	.51	-	 < 0.01	6.02E-01
biotin metabolic process (GO:0006768)	2	0	.51	-	 < 0.01	6.02E-01
L-proline biosynthetic process (GO:0055129)	2	0	.51	-	 < 0.01	6.02E-01
dihydrofolate biosynthetic process (GO:0006761)	1	0	.25	-	 < 0.01	7.76E-01
sporulation resulting in formation of a cellular spore (GO:0030435)	2	0	.51	-	 < 0.01	6.02E-01
tetrahydrobiopterin metabolic process (GO:0046146)	1	0	.25	-	 < 0.01	7.76E-01
'de novo' L-methionine biosynthetic process (GO:0071266)	1	0	.25	-	 < 0.01	7.76E-01
L-methionine biosynthetic process (GO:0071265)	1	0	.25	-	 < 0.01	7.76E-01
corrin biosynthetic process (GO:0046140)	1	0	.25	-	 < 0.01	7.76E-01
glutathione catabolic process (GO:0006751)	1	0	.25	-	 < 0.01	7.76E-01
isopentenyl diphosphate metabolic process (GO:0046490)	3	0	.76	-	 < 0.01	4.66E-01
regulation of division septum assembly (GO:0032955)	1	0	.25	-	 < 0.01	7.76E-01
regulation of cytokinetic process (GO:0032954)	2	0	.51	-	 < 0.01	6.02E-01
protein targeting to ER (GO:0045047)	2	0	.51	-	 < 0.01	6.02E-01
ubiquinone biosynthetic process (GO:0006744)	1	0	.25	-	 < 0.01	7.76E-01
ubiquinone metabolic process (GO:0006743)	1	0	.25	-	 < 0.01	7.76E-01
glyoxylate metabolic process (GO:0046487)	1	0	.25	-	 < 0.01	7.76E-01
glycerolipid metabolic process (GO:0046486)	3	0	.76	-	 < 0.01	4.66E-01
organic anion transport (GO:0015711)	1	0	.25	-	 < 0.01	7.76E-01
secretion by cell (GO:0032940)	3	0	.76	-	 < 0.01	4.66E-01
queuosine metabolic process (GO:0046116)	2	0	.51	-	 < 0.01	6.02E-01
glycerophospholipid biosynthetic process (GO:0046474)	2	0	.51	-	 < 0.01	6.02E-01
anatomical structure formation involved in morphogenesis (GO:0048646)	2	0	.51	-	 < 0.01	6.02E-01
tetrahydrobiopterin biosynthetic process (GO:0006729)	1	0	.25	-	 < 0.01	7.76E-01
terpenoid metabolic process (GO:0006721)	7	0	1.77	-	 < 0.01	1.68E-01
isoprenoid metabolic process (GO:0006720)	9	0	2.28	-	 < 0.01	1.00E-01
immune system process (GO:0002376)	1	0	.25	-	 < 0.01	7.76E-01
glycerolipid biosynthetic process (GO:0045017)	2	0	.51	-	 < 0.01	6.02E-01
short-chain fatty acid metabolic process (GO:0046459)	1	0	.25	-	 < 0.01	7.76E-01
glycogen catabolic process (GO:0005980)	2	0	.51	-	 < 0.01	6.02E-01
cellular response to abiotic stimulus (GO:0071214)	1	0	.25	-	 < 0.01	7.76E-01
dihydrofolate metabolic process (GO:0046452)	1	0	.25	-	 < 0.01	7.76E-01
leucine biosynthetic process (GO:0009098)	5	0	1.27	-	 < 0.01	2.80E-01
diaminopimelate metabolic process (GO:0046451)	6	0	1.52	-	 < 0.01	2.17E-01
chaperone cofactor-dependent protein refolding (GO:0051085)	1	0	.25	-	 < 0.01	7.76E-01
aromatic amino acid family biosynthetic process, prephenate pathway (GO:0009095)	2	0	.51	-	 < 0.01	6.02E-01
'de novo' posttranslational protein folding (GO:0051084)	1	0	.25	-	 < 0.01	7.76E-01
L-phenylalanine biosynthetic process (GO:0009094)	1	0	.25	-	 < 0.01	7.76E-01
homoserine metabolic process (GO:0009092)	1	0	.25	-	 < 0.01	7.76E-01
homoserine biosynthetic process (GO:0009090)	1	0	.25	-	 < 0.01	7.76E-01
protein localization to membrane (GO:0072657)	3	0	.76	-	 < 0.01	4.66E-01
cellular carbohydrate catabolic process (GO:0044275)	4	0	1.01	-	 < 0.01	3.61E-01
sulfur compound catabolic process (GO:0044273)	1	0	.25	-	 < 0.01	7.76E-01
cytochrome c-heme linkage (GO:0018063)	1	0	.25	-	 < 0.01	7.76E-01
lysine biosynthetic process via diaminopimelate (GO:0009089)	6	0	1.52	-	 < 0.01	2.17E-01
threonine biosynthetic process (GO:0009088)	4	0	1.01	-	 < 0.01	3.61E-01
lysine biosynthetic process (GO:0009085)	6	0	1.52	-	 < 0.01	2.17E-01
rRNA base methylation (GO:0070475)	1	0	.25	-	 < 0.01	7.76E-01
cellular response to oxygen-containing compound (GO:1901701)	1	0	.25	-	 < 0.01	7.76E-01
response to oxygen-containing compound (GO:1901700)	1	0	.25	-	 < 0.01	7.76E-01
organophosphate catabolic process (GO:0046434)	3	0	.76	-	 < 0.01	4.66E-01
dihydrobiopterin metabolic process (GO:0051066)	1	0	.25	-	 < 0.01	7.76E-01
peptide catabolic process (GO:0043171)	1	0	.25	-	 < 0.01	7.76E-01
aromatic amino acid family catabolic process (GO:0009074)	1	0	.25	-	 < 0.01	7.76E-01
phosphorelay signal transduction system (GO:0000160)	2	0	.51	-	 < 0.01	6.02E-01
negative regulation of transport (GO:0051051)	1	0	.25	-	 < 0.01	7.76E-01
rRNA modification (GO:0000154)	1	0	.25	-	 < 0.01	7.76E-01
cellular polysaccharide catabolic process (GO:0044247)	2	0	.51	-	 < 0.01	6.02E-01
protein autophosphorylation (GO:0046777)	1	0	.25	-	 < 0.01	7.76E-01
regulation of transport (GO:0051049)	1	0	.25	-	 < 0.01	7.76E-01
pentose-phosphate shunt, oxidative branch (GO:0009051)	1	0	.25	-	 < 0.01	7.76E-01
detoxification (GO:0098754)	3	0	.76	-	 < 0.01	4.66E-01
photosystem II assembly (GO:0010207)	2	0	.51	-	 < 0.01	6.02E-01
photosystem II repair (GO:0010206)	1	0	.25	-	 < 0.01	7.76E-01
regulation of cell cycle process (GO:0010564)	2	0	.51	-	 < 0.01	6.02E-01
negative regulation of phosphorus metabolic process (GO:0010563)	2	0	.51	-	 < 0.01	6.02E-01
positive regulation of phosphorus metabolic process (GO:0010562)	1	0	.25	-	 < 0.01	7.76E-01
DNA replication, removal of RNA primer (GO:0043137)	1	0	.25	-	 < 0.01	7.76E-01
nitrogen fixation (GO:0009399)	1	0	.25	-	 < 0.01	7.76E-01
folic acid-containing compound biosynthetic process (GO:0009396)	5	0	1.27	-	 < 0.01	2.80E-01
metal incorporation into metallo-molybdopterin complex (GO:0042040)	1	0	.25	-	 < 0.01	7.76E-01
'de novo' CTP biosynthetic process (GO:0044210)	2	0	.51	-	 < 0.01	6.02E-01
[2Fe-2S] cluster assembly (GO:0044571)	1	0	.25	-	 < 0.01	7.76E-01
establishment of protein localization to extracellular region (GO:0035592)	3	0	.76	-	 < 0.01	4.66E-01
isoprenoid biosynthetic process (GO:0008299)	8	0	2.03	-	 < 0.01	1.30E-01
'de novo' AMP biosynthetic process (GO:0044208)	2	0	.51	-	 < 0.01	6.02E-01
regulation of organelle organization (GO:0033043)	1	0	.25	-	 < 0.01	7.76E-01
removal of superoxide radicals (GO:0019430)	1	0	.25	-	 < 0.01	7.76E-01
regulation of generation of precursor metabolites and energy (GO:0043467)	3	0	.76	-	 < 0.01	4.66E-01
phylloquinone metabolic process (GO:0042374)	5	0	1.27	-	 < 0.01	2.80E-01
vitamin K metabolic process (GO:0042373)	1	0	.25	-	 < 0.01	7.76E-01
phylloquinone biosynthetic process (GO:0042372)	5	0	1.27	-	 < 0.01	2.80E-01
vitamin K biosynthetic process (GO:0042371)	1	0	.25	-	 < 0.01	7.76E-01
export from cell (GO:0140352)	3	0	.76	-	 < 0.01	4.66E-01
regulation of secondary metabolic process (GO:0043455)	1	0	.25	-	 < 0.01	7.76E-01
positive regulation of transferase activity (GO:0051347)	1	0	.25	-	 < 0.01	7.76E-01
tricarboxylic acid cycle (GO:0006099)	4	0	1.01	-	 < 0.01	3.61E-01
pentose-phosphate shunt (GO:0006098)	3	0	.76	-	 < 0.01	4.66E-01
glyoxylate cycle (GO:0006097)	1	0	.25	-	 < 0.01	7.76E-01
gluconeogenesis (GO:0006094)	2	0	.51	-	 < 0.01	6.02E-01
ncRNA 5'-end processing (GO:0034471)	1	0	.25	-	 < 0.01	7.76E-01
water-soluble vitamin catabolic process (GO:0042365)	1	0	.25	-	 < 0.01	7.76E-01
fat-soluble vitamin biosynthetic process (GO:0042362)	2	0	.51	-	 < 0.01	6.02E-01
vitamin E metabolic process (GO:0042360)	1	0	.25	-	 < 0.01	7.76E-01
intracellular signal transduction (GO:0035556)	2	0	.51	-	 < 0.01	6.02E-01
alkane catabolic process (GO:0043448)	1	0	.25	-	 < 0.01	7.76E-01
cellular alkane metabolic process (GO:0043446)	1	0	.25	-	 < 0.01	7.76E-01
ribonucleoprotein complex subunit organization (GO:0071826)	3	0	.76	-	 < 0.01	4.66E-01
regulation of transferase activity (GO:0051338)	1	0	.25	-	 < 0.01	7.76E-01
thiamine diphosphate metabolic process (GO:0042357)	2	0	.51	-	 < 0.01	6.02E-01
'de novo' GDP-L-fucose biosynthetic process (GO:0042351)	1	0	.25	-	 < 0.01	7.76E-01
GDP-L-fucose biosynthetic process (GO:0042350)	1	0	.25	-	 < 0.01	7.76E-01
alditol catabolic process (GO:0019405)	1	0	.25	-	 < 0.01	7.76E-01
alditol metabolic process (GO:0019400)	1	0	.25	-	 < 0.01	7.76E-01
molybdenum incorporation into molybdenum-molybdopterin complex (GO:0018315)	1	0	.25	-	 < 0.01	7.76E-01
glycerol-3-phosphate metabolic process (GO:0006072)	1	0	.25	-	 < 0.01	7.76E-01
RNA methylation (GO:0001510)	2	0	.51	-	 < 0.01	6.02E-01
glycerol metabolic process (GO:0006071)	1	0	.25	-	 < 0.01	7.76E-01
protein localization to organelle (GO:0033365)	2	0	.51	-	 < 0.01	6.02E-01
polyol metabolic process (GO:0019751)	2	0	.51	-	 < 0.01	6.02E-01
cell adhesion (GO:0007155)	1	0	.25	-	 < 0.01	7.76E-01
positive regulation of cellular protein metabolic process (GO:0032270)	1	0	.25	-	 < 0.01	7.76E-01
alcohol metabolic process (GO:0006066)	4	0	1.01	-	 < 0.01	3.61E-01
protein repair (GO:0030091)	1	0	.25	-	 < 0.01	7.76E-01
carotene biosynthetic process (GO:0016120)	1	0	.25	-	 < 0.01	7.76E-01
macromolecule glycosylation (GO:0043413)	1	0	.25	-	 < 0.01	7.76E-01
localization within membrane (GO:0051668)	3	0	.76	-	 < 0.01	4.66E-01
response to radiation (GO:0009314)	2	0	.51	-	 < 0.01	6.02E-01
oligosaccharide catabolic process (GO:0009313)	1	0	.25	-	 < 0.01	7.76E-01
regulation of cell division (GO:0051302)	1	0	.25	-	 < 0.01	7.76E-01
positive regulation of phosphorylation (GO:0042327)	1	0	.25	-	 < 0.01	7.76E-01
negative regulation of phosphorylation (GO:0042326)	1	0	.25	-	 < 0.01	7.76E-01
regulation of phosphorylation (GO:0042325)	2	0	.51	-	 < 0.01	6.02E-01
carotene metabolic process (GO:0016119)	1	0	.25	-	 < 0.01	7.76E-01
carotenoid biosynthetic process (GO:0016117)	3	0	.76	-	 < 0.01	4.66E-01
carotenoid metabolic process (GO:0016116)	3	0	.76	-	 < 0.01	4.66E-01
terpenoid biosynthetic process (GO:0016114)	6	0	1.52	-	 < 0.01	2.17E-01
tRNA N1-guanine methylation (GO:0002939)	1	0	.25	-	 < 0.01	7.76E-01
protein secretion (GO:0009306)	3	0	.76	-	 < 0.01	4.66E-01
plastid membrane organization (GO:0009668)	1	0	.25	-	 < 0.01	7.76E-01
protein biotinylation (GO:0009305)	1	0	.25	-	 < 0.01	7.76E-01
rRNA methylation (GO:0031167)	1	0	.25	-	 < 0.01	7.76E-01
positive regulation of phosphate metabolic process (GO:0045937)	1	0	.25	-	 < 0.01	7.76E-01
negative regulation of phosphate metabolic process (GO:0045936)	2	0	.51	-	 < 0.01	6.02E-01
metallo-sulfur cluster assembly (GO:0031163)	2	0	.51	-	 < 0.01	6.02E-01
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	2	0	.51	-	 < 0.01	6.02E-01
tetraterpenoid biosynthetic process (GO:0016109)	3	0	.76	-	 < 0.01	4.66E-01
tetraterpenoid metabolic process (GO:0016108)	3	0	.76	-	 < 0.01	4.66E-01
diterpenoid metabolic process (GO:0016101)	1	0	.25	-	 < 0.01	7.76E-01
chloroplast organization (GO:0009658)	1	0	.25	-	 < 0.01	7.76E-01
plastid organization (GO:0009657)	1	0	.25	-	 < 0.01	7.76E-01
tRNA 3'-trailer cleavage, endonucleolytic (GO:0034414)	1	0	.25	-	 < 0.01	7.76E-01
cellular detoxification (GO:1990748)	3	0	.76	-	 < 0.01	4.66E-01
corrin metabolic process (GO:0015009)	1	0	.25	-	 < 0.01	7.76E-01
glycosaminoglycan catabolic process (GO:0006027)	2	0	.51	-	 < 0.01	6.02E-01
aminoglycan catabolic process (GO:0006026)	2	0	.51	-	 < 0.01	6.02E-01
negative regulation of ion transmembrane transport (GO:0034766)	1	0	.25	-	 < 0.01	7.76E-01
regulation of ion transmembrane transport (GO:0034765)	1	0	.25	-	 < 0.01	7.76E-01
negative regulation of transmembrane transport (GO:0034763)	1	0	.25	-	 < 0.01	7.76E-01
